HGVR2,BUS,ONS LACode,HGVR4,AMV,Region Name (GO),CP Location,ONS LA Name,HGVA3,CP,HGVA6,HGV,iDir,LGV,dCount,Year,S Ref N,2WMV,HGVA5,CAR,Road,HGVR3,RCat,S Ref E,PC,Road Name,Hour
2,0,E06000023,1,94,South West,,"Bristol, City of",0,968105,0,4,N,21,9/17/2004,2004,174000,1,0,68,U,1,UU,360100,3,Pennywell Road,7
5,1,E06000023,1,163,South West,,"Bristol, City of",0,968105,0,6,N,26,9/17/2004,2004,174000,1,0,129,U,0,UU,360100,1,Pennywell Road,8
7,0,E06000023,0,149,South West,,"Bristol, City of",0,968105,0,9,N,32,9/17/2004,2004,174000,0,1,108,U,1,UU,360100,0,Pennywell Road,9
7,1,E06000023,0,170,South West,,"Bristol, City of",0,968105,0,11,N,38,9/17/2004,2004,174000,0,0,120,U,4,UU,360100,1,Pennywell Road,10
8,0,E06000023,2,197,South West,,"Bristol, City of",0,968105,0,12,N,46,9/17/2004,2004,174000,0,1,139,U,1,UU,360100,1,Pennywell Road,11
7,1,E06000023,0,240,South West,,"Bristol, City of",0,968105,0,7,N,36,9/17/2004,2004,174000,1,0,195,U,0,UU,360100,2,Pennywell Road,12
6,1,E06000023,0,243,South West,,"Bristol, City of",0,968105,0,9,N,28,9/17/2004,2004,174000,3,1,202,U,2,UU,360100,3,Pennywell Road,13
6,3,E06000023,0,258,South West,,"Bristol, City of",0,968105,0,7,N,44,9/17/2004,2004,174000,1,0,203,U,1,UU,360100,1,Pennywell Road,14
3,2,E06000023,1,301,South West,,"Bristol, City of",1,968105,0,6,N,40,9/17/2004,2004,174000,2,0,251,U,1,UU,360100,6,Pennywell Road,15
2,2,E06000023,2,452,South West,,"Bristol, City of",1,968105,0,5,N,35,9/17/2004,2004,174000,5,0,405,U,0,UU,360100,3,Pennywell Road,16
1,3,E06000023,0,490,South West,,"Bristol, City of",0,968105,0,1,N,48,9/17/2004,2004,174000,4,0,434,U,0,UU,360100,5,Pennywell Road,17
1,1,E06000023,0,238,South West,,"Bristol, City of",0,968105,0,2,N,17,9/17/2004,2004,174000,2,1,216,U,0,UU,360100,2,Pennywell Road,18
1,0,E06000023,0,28,South West,,"Bristol, City of",0,968105,0,1,S,3,9/17/2004,2004,174000,0,0,24,U,0,UU,360100,0,Pennywell Road,7
2,0,E06000023,0,35,South West,,"Bristol, City of",0,968105,0,3,S,3,9/17/2004,2004,174000,0,0,29,U,1,UU,360100,3,Pennywell Road,8
1,0,E06000023,0,33,South West,,"Bristol, City of",0,968105,0,2,S,7,9/17/2004,2004,174000,0,0,24,U,1,UU,360100,1,Pennywell Road,9
0,0,E06000023,0,23,South West,,"Bristol, City of",0,968105,0,0,S,4,9/17/2004,2004,174000,1,0,18,U,0,UU,360100,0,Pennywell Road,10
3,0,E06000023,0,39,South West,,"Bristol, City of",0,968105,0,3,S,13,9/17/2004,2004,174000,0,0,23,U,0,UU,360100,2,Pennywell Road,11
0,0,E06000023,0,26,South West,,"Bristol, City of",0,968105,0,1,S,4,9/17/2004,2004,174000,0,1,21,U,0,UU,360100,1,Pennywell Road,12
1,0,E06000023,0,34,South West,,"Bristol, City of",0,968105,0,1,S,5,9/17/2004,2004,174000,1,0,27,U,0,UU,360100,1,Pennywell Road,13
1,1,E06000023,0,33,South West,,"Bristol, City of",0,968105,0,1,S,4,9/17/2004,2004,174000,0,0,27,U,0,UU,360100,1,Pennywell Road,14
0,0,E06000023,0,51,South West,,"Bristol, City of",1,968105,0,1,S,5,9/17/2004,2004,174000,1,0,44,U,0,UU,360100,4,Pennywell Road,15
0,0,E06000023,0,35,South West,,"Bristol, City of",0,968105,0,0,S,3,9/17/2004,2004,174000,0,0,32,U,0,UU,360100,2,Pennywell Road,16
0,0,E06000023,0,21,South West,,"Bristol, City of",0,968105,0,0,S,1,9/17/2004,2004,174000,0,0,20,U,0,UU,360100,1,Pennywell Road,17
0,0,E06000023,0,30,South West,,"Bristol, City of",0,968105,0,1,S,3,9/17/2004,2004,174000,0,1,26,U,0,UU,360100,0,Pennywell Road,18
