HGVR2,BUS,ONS LACode,HGVR4,AMV,Region Name (GO),CP Location,ONS LA Name,HGVA3,CP,HGVA6,HGV,iDir,LGV,dCount,Year,S Ref N,2WMV,HGVA5,CAR,Road,HGVR3,RCat,S Ref E,PC,Road Name,Hour
9,11,E06000023,0,431,South West,West of St Edyths Road,"Bristol, City of",0,946753,0,10,E,54,10/12/2012,2012,176782,7,0,349,B4054,1,BU,355060,2,SHIREHAMPTON ROAD,7
12,8,E06000023,0,431,South West,West of St Edyths Road,"Bristol, City of",0,946753,1,14,E,64,10/12/2012,2012,176782,1,0,344,B4054,1,BU,355060,1,SHIREHAMPTON ROAD,8
5,5,E06000023,0,313,South West,West of St Edyths Road,"Bristol, City of",1,946753,0,7,E,62,10/12/2012,2012,176782,1,0,238,B4054,1,BU,355060,3,SHIREHAMPTON ROAD,9
8,5,E06000023,0,256,South West,West of St Edyths Road,"Bristol, City of",0,946753,0,9,E,54,10/12/2012,2012,176782,1,0,187,B4054,1,BU,355060,2,SHIREHAMPTON ROAD,10
13,6,E06000023,0,295,South West,West of St Edyths Road,"Bristol, City of",0,946753,0,18,E,45,10/12/2012,2012,176782,1,0,225,B4054,5,BU,355060,0,SHIREHAMPTON ROAD,11
16,6,E06000023,1,292,South West,West of St Edyths Road,"Bristol, City of",0,946753,0,19,E,39,10/12/2012,2012,176782,0,0,228,B4054,2,BU,355060,3,SHIREHAMPTON ROAD,12
14,5,E06000023,1,334,South West,West of St Edyths Road,"Bristol, City of",0,946753,0,17,E,34,10/12/2012,2012,176782,2,0,276,B4054,2,BU,355060,2,SHIREHAMPTON ROAD,13
6,10,E06000023,0,326,South West,West of St Edyths Road,"Bristol, City of",0,946753,0,6,E,36,10/12/2012,2012,176782,4,0,270,B4054,0,BU,355060,4,SHIREHAMPTON ROAD,14
4,9,E06000023,1,396,South West,West of St Edyths Road,"Bristol, City of",0,946753,0,8,E,31,10/12/2012,2012,176782,6,0,342,B4054,3,BU,355060,0,SHIREHAMPTON ROAD,15
3,8,E06000023,0,397,South West,West of St Edyths Road,"Bristol, City of",0,946753,0,3,E,41,10/12/2012,2012,176782,8,0,337,B4054,0,BU,355060,3,SHIREHAMPTON ROAD,16
2,8,E06000023,0,413,South West,West of St Edyths Road,"Bristol, City of",0,946753,0,2,E,24,10/12/2012,2012,176782,9,0,370,B4054,0,BU,355060,8,SHIREHAMPTON ROAD,17
2,4,E06000023,0,324,South West,West of St Edyths Road,"Bristol, City of",0,946753,0,2,E,21,10/12/2012,2012,176782,2,0,295,B4054,0,BU,355060,5,SHIREHAMPTON ROAD,18
