HGVR2,BUS,ONS LACode,Road Name,A Ref E,HGVR4,AMV,Region Name (GO),CP Location,A-Junction,B Ref N,ONS LA Name,HGVA3,CP,HGVA6,HGV,iDir,LGV,dCount,Year,S Ref N,2WMV,HGVA5,CAR,Road,B Ref E,HGVR3,RCat,S Ref E,PC,A Ref N,B-Junction,Hour
10,32,E06000023,,360045,2,551,South West,,Clarence Rd,173510,"Bristol, City of",0,28348,0,13,S,83,10/5/2012,2012,173410,14,0,409,A420,360030,1,PU,360040,20,173344,Stapleton Rd,7
5,32,E06000023,,360045,1,742,South West,,Clarence Rd,173510,"Bristol, City of",0,28348,0,8,S,106,10/5/2012,2012,173410,18,0,578,A420,360030,2,PU,360040,40,173344,Stapleton Rd,8
13,48,E06000023,,360045,2,662,South West,,Clarence Rd,173510,"Bristol, City of",0,28348,1,19,S,123,10/5/2012,2012,173410,7,1,465,A420,360030,2,PU,360040,24,173344,Stapleton Rd,9
9,46,E06000023,,360045,0,604,South West,,Clarence Rd,173510,"Bristol, City of",0,28348,0,13,S,146,10/5/2012,2012,173410,12,1,387,A420,360030,3,PU,360040,17,173344,Stapleton Rd,10
14,44,E06000023,,360045,1,722,South West,,Clarence Rd,173510,"Bristol, City of",0,28348,0,20,S,105,10/5/2012,2012,173410,7,2,546,A420,360030,3,PU,360040,13,173344,Stapleton Rd,11
10,40,E06000023,,360045,0,832,South West,,Clarence Rd,173510,"Bristol, City of",0,28348,0,12,S,133,10/5/2012,2012,173410,14,0,633,A420,360030,2,PU,360040,16,173344,Stapleton Rd,12
11,49,E06000023,,360045,2,887,South West,,Clarence Rd,173510,"Bristol, City of",0,28348,0,16,S,151,10/5/2012,2012,173410,13,0,658,A420,360030,3,PU,360040,11,173344,Stapleton Rd,13
7,47,E06000023,,360045,1,864,South West,,Clarence Rd,173510,"Bristol, City of",0,28348,0,8,S,117,10/5/2012,2012,173410,14,0,678,A420,360030,0,PU,360040,12,173344,Stapleton Rd,14
11,42,E06000023,,360045,0,1054,South West,,Clarence Rd,173510,"Bristol, City of",0,28348,0,13,S,137,10/5/2012,2012,173410,27,0,835,A420,360030,2,PU,360040,15,173344,Stapleton Rd,15
10,44,E06000023,,360045,1,1236,South West,,Clarence Rd,173510,"Bristol, City of",0,28348,0,11,S,158,10/5/2012,2012,173410,33,0,990,A420,360030,0,PU,360040,22,173344,Stapleton Rd,16
2,46,E06000023,,360045,0,1287,South West,,Clarence Rd,173510,"Bristol, City of",0,28348,1,5,S,121,10/5/2012,2012,173410,34,1,1081,A420,360030,1,PU,360040,37,173344,Stapleton Rd,17
2,45,E06000023,,360045,0,883,South West,,Clarence Rd,173510,"Bristol, City of",0,28348,0,2,S,53,10/5/2012,2012,173410,19,0,764,A420,360030,0,PU,360040,7,173344,Stapleton Rd,18
0,0,E06000024,WEDMOOR ROAD,,0,5,South West,Nailsea,,,North Somerset,0,947275,0,0,N,1,10/5/2012,2012,169948,0,0,4,U,,0,UU,347454,0,,,7
0,0,E06000024,WEDMOOR ROAD,,0,16,South West,Nailsea,,,North Somerset,0,947275,0,0,N,2,10/5/2012,2012,169948,0,0,14,U,,0,UU,347454,1,,,8
0,0,E06000024,WEDMOOR ROAD,,0,16,South West,Nailsea,,,North Somerset,0,947275,0,0,N,2,10/5/2012,2012,169948,0,0,14,U,,0,UU,347454,0,,,9
0,0,E06000024,WEDMOOR ROAD,,0,9,South West,Nailsea,,,North Somerset,0,947275,0,0,N,0,10/5/2012,2012,169948,0,0,9,U,,0,UU,347454,0,,,10
1,0,E06000024,WEDMOOR ROAD,,0,16,South West,Nailsea,,,North Somerset,0,947275,0,1,N,0,10/5/2012,2012,169948,0,0,15,U,,0,UU,347454,0,,,11
1,0,E06000024,WEDMOOR ROAD,,0,19,South West,Nailsea,,,North Somerset,0,947275,0,1,N,0,10/5/2012,2012,169948,0,0,18,U,,0,UU,347454,0,,,12
0,0,E06000024,WEDMOOR ROAD,,0,21,South West,Nailsea,,,North Somerset,0,947275,0,0,N,3,10/5/2012,2012,169948,0,0,18,U,,0,UU,347454,0,,,13
1,0,E06000024,WEDMOOR ROAD,,0,19,South West,Nailsea,,,North Somerset,0,947275,0,1,N,2,10/5/2012,2012,169948,0,0,16,U,,0,UU,347454,0,,,14
0,0,E06000024,WEDMOOR ROAD,,0,32,South West,Nailsea,,,North Somerset,0,947275,0,0,N,3,10/5/2012,2012,169948,0,0,29,U,,0,UU,347454,1,,,15
0,0,E06000024,WEDMOOR ROAD,,0,27,South West,Nailsea,,,North Somerset,0,947275,0,0,N,1,10/5/2012,2012,169948,0,0,26,U,,0,UU,347454,1,,,16
0,0,E06000024,WEDMOOR ROAD,,0,20,South West,Nailsea,,,North Somerset,0,947275,0,0,N,0,10/5/2012,2012,169948,0,0,20,U,,0,UU,347454,0,,,17
0,0,E06000024,WEDMOOR ROAD,,0,20,South West,Nailsea,,,North Somerset,0,947275,0,0,N,0,10/5/2012,2012,169948,0,0,20,U,,0,UU,347454,0,,,18
0,0,E06000024,WEDMOOR ROAD,,0,19,South West,Nailsea,,,North Somerset,0,947275,0,0,S,3,10/5/2012,2012,169948,0,0,16,U,,0,UU,347454,0,,,7
0,0,E06000024,WEDMOOR ROAD,,0,25,South West,Nailsea,,,North Somerset,0,947275,0,0,S,1,10/5/2012,2012,169948,0,0,24,U,,0,UU,347454,1,,,8
0,0,E06000024,WEDMOOR ROAD,,0,22,South West,Nailsea,,,North Somerset,0,947275,0,0,S,2,10/5/2012,2012,169948,0,0,20,U,,0,UU,347454,0,,,9
0,0,E06000024,WEDMOOR ROAD,,0,11,South West,Nailsea,,,North Somerset,0,947275,0,0,S,1,10/5/2012,2012,169948,0,0,10,U,,0,UU,347454,0,,,10
1,0,E06000024,WEDMOOR ROAD,,0,21,South West,Nailsea,,,North Somerset,0,947275,0,1,S,1,10/5/2012,2012,169948,0,0,19,U,,0,UU,347454,0,,,11
1,0,E06000024,WEDMOOR ROAD,,0,10,South West,Nailsea,,,North Somerset,0,947275,0,1,S,0,10/5/2012,2012,169948,0,0,9,U,,0,UU,347454,0,,,12
0,0,E06000024,WEDMOOR ROAD,,0,29,South West,Nailsea,,,North Somerset,0,947275,0,0,S,4,10/5/2012,2012,169948,0,0,25,U,,0,UU,347454,0,,,13
1,0,E06000024,WEDMOOR ROAD,,0,20,South West,Nailsea,,,North Somerset,0,947275,0,1,S,2,10/5/2012,2012,169948,0,0,17,U,,0,UU,347454,0,,,14
0,0,E06000024,WEDMOOR ROAD,,0,25,South West,Nailsea,,,North Somerset,0,947275,0,0,S,2,10/5/2012,2012,169948,0,0,23,U,,0,UU,347454,0,,,15
0,0,E06000024,WEDMOOR ROAD,,0,20,South West,Nailsea,,,North Somerset,0,947275,0,0,S,1,10/5/2012,2012,169948,0,0,19,U,,0,UU,347454,0,,,16
0,0,E06000024,WEDMOOR ROAD,,0,14,South West,Nailsea,,,North Somerset,0,947275,0,0,S,3,10/5/2012,2012,169948,0,0,11,U,,0,UU,347454,0,,,17
0,0,E06000024,WEDMOOR ROAD,,0,11,South West,Nailsea,,,North Somerset,0,947275,0,0,S,0,10/5/2012,2012,169948,0,0,11,U,,0,UU,347454,0,,,18
