HGVR2,BUS,ONS LACode,A Ref E,HGVR4,AMV,Region Name (GO),A-Junction,B Ref N,ONS LA Name,HGVA3,CP,HGVA6,HGV,iDir,LGV,dCount,Year,S Ref N,2WMV,HGVA5,CAR,Road,B Ref E,HGVR3,RCat,S Ref E,PC,A Ref N,B-Junction,Hour
2,8,E06000024,332140,0,180,South West,A3033 Devonshire Road,161120,North Somerset,0,47035,0,3,N,24,6/28/2001,2001,160000,2,0,143,A370,331800,1,PU,331650,6,159230,Carlton Street,7
6,5,E06000024,332140,0,606,South West,A3033 Devonshire Road,161120,North Somerset,1,47035,0,8,N,47,6/28/2001,2001,160000,3,1,543,A370,331800,0,PU,331650,7,159230,Carlton Street,8
8,3,E06000024,332140,1,610,South West,A3033 Devonshire Road,161120,North Somerset,0,47035,0,10,N,46,6/28/2001,2001,160000,4,1,547,A370,331800,0,PU,331650,8,159230,Carlton Street,9
4,10,E06000024,332140,0,497,South West,A3033 Devonshire Road,161120,North Somerset,0,47035,0,6,N,35,6/28/2001,2001,160000,2,0,444,A370,331800,2,PU,331650,4,159230,Carlton Street,10
12,8,E06000024,332140,0,489,South West,A3033 Devonshire Road,161120,North Somerset,0,47035,0,13,N,40,6/28/2001,2001,160000,4,0,424,A370,331800,1,PU,331650,4,159230,Carlton Street,11
6,14,E06000024,332140,0,493,South West,A3033 Devonshire Road,161120,North Somerset,0,47035,0,6,N,29,6/28/2001,2001,160000,1,0,443,A370,331800,0,PU,331650,1,159230,Carlton Street,12
7,8,E06000024,332140,0,376,South West,A3033 Devonshire Road,161120,North Somerset,1,47035,0,8,N,40,6/28/2001,2001,160000,3,0,317,A370,331800,0,PU,331650,1,159230,Carlton Street,13
3,10,E06000024,332140,0,380,South West,A3033 Devonshire Road,161120,North Somerset,0,47035,0,5,N,32,6/28/2001,2001,160000,1,1,332,A370,331800,1,PU,331650,6,159230,Carlton Street,14
4,5,E06000024,332140,0,392,South West,A3033 Devonshire Road,161120,North Somerset,1,47035,0,5,N,33,6/28/2001,2001,160000,3,0,346,A370,331800,0,PU,331650,0,159230,Carlton Street,15
3,17,E06000024,332140,0,390,South West,A3033 Devonshire Road,161120,North Somerset,0,47035,0,4,N,31,6/28/2001,2001,160000,2,0,336,A370,331800,1,PU,331650,3,159230,Carlton Street,16
1,8,E06000024,332140,0,362,South West,A3033 Devonshire Road,161120,North Somerset,0,47035,0,4,N,30,6/28/2001,2001,160000,3,2,317,A370,331800,1,PU,331650,5,159230,Carlton Street,17
2,6,E06000024,332140,0,275,South West,A3033 Devonshire Road,161120,North Somerset,0,47035,0,3,N,21,6/28/2001,2001,160000,2,1,243,A370,331800,0,PU,331650,2,159230,Carlton Street,18
7,1,E06000024,332140,0,164,South West,A3033 Devonshire Road,161120,North Somerset,0,47035,0,7,S,17,6/28/2001,2001,160000,1,0,138,A370,331800,0,PU,331650,5,159230,Carlton Street,7
2,5,E06000024,332140,0,410,South West,A3033 Devonshire Road,161120,North Somerset,0,47035,0,4,S,46,6/28/2001,2001,160000,6,0,349,A370,331800,2,PU,331650,2,159230,Carlton Street,8
9,8,E06000024,332140,0,371,South West,A3033 Devonshire Road,161120,North Somerset,0,47035,0,10,S,34,6/28/2001,2001,160000,1,0,318,A370,331800,1,PU,331650,4,159230,Carlton Street,9
8,8,E06000024,332140,0,387,South West,A3033 Devonshire Road,161120,North Somerset,0,47035,0,8,S,47,6/28/2001,2001,160000,4,0,320,A370,331800,0,PU,331650,4,159230,Carlton Street,10
13,3,E06000024,332140,0,407,South West,A3033 Devonshire Road,161120,North Somerset,0,47035,0,14,S,33,6/28/2001,2001,160000,3,1,354,A370,331800,0,PU,331650,2,159230,Carlton Street,11
7,5,E06000024,332140,1,579,South West,A3033 Devonshire Road,161120,North Somerset,0,47035,0,9,S,43,6/28/2001,2001,160000,4,0,518,A370,331800,1,PU,331650,1,159230,Carlton Street,12
6,9,E06000024,332140,0,552,South West,A3033 Devonshire Road,161120,North Somerset,0,47035,0,6,S,43,6/28/2001,2001,160000,5,0,489,A370,331800,0,PU,331650,7,159230,Carlton Street,13
4,7,E06000024,332140,0,613,South West,A3033 Devonshire Road,161120,North Somerset,0,47035,0,6,S,44,6/28/2001,2001,160000,3,1,553,A370,331800,1,PU,331650,6,159230,Carlton Street,14
0,13,E06000024,332140,0,678,South West,A3033 Devonshire Road,161120,North Somerset,0,47035,0,1,S,45,6/28/2001,2001,160000,3,0,616,A370,331800,1,PU,331650,11,159230,Carlton Street,15
1,6,E06000024,332140,0,674,South West,A3033 Devonshire Road,161120,North Somerset,0,47035,1,2,S,47,6/28/2001,2001,160000,4,0,615,A370,331800,0,PU,331650,6,159230,Carlton Street,16
1,8,E06000024,332140,0,805,South West,A3033 Devonshire Road,161120,North Somerset,0,47035,0,2,S,52,6/28/2001,2001,160000,6,1,737,A370,331800,0,PU,331650,14,159230,Carlton Street,17
1,9,E06000024,332140,0,445,South West,A3033 Devonshire Road,161120,North Somerset,0,47035,0,2,S,29,6/28/2001,2001,160000,6,0,399,A370,331800,1,PU,331650,9,159230,Carlton Street,18
37,19,E06000023,357680,18,1682,South West,A3029,170690,"Bristol, City of",2,74625,7,83,E,265,6/28/2001,2001,170660,17,8,1298,A38,357810,11,PU,357750,8,170620,A38 West street,7
40,37,E06000023,357680,8,2104,South West,A3029,170690,"Bristol, City of",2,74625,6,69,E,300,6/28/2001,2001,170660,30,7,1668,A38,357810,6,PU,357750,15,170620,A38 West street,8
56,43,E06000023,357680,19,1816,South West,A3029,170690,"Bristol, City of",4,74625,5,100,E,287,6/28/2001,2001,170660,13,12,1373,A38,357810,4,PU,357750,5,170620,A38 West street,9
52,25,E06000023,357680,19,1668,South West,A3029,170690,"Bristol, City of",2,74625,9,107,E,265,6/28/2001,2001,170660,11,13,1260,A38,357810,12,PU,357750,2,170620,A38 West street,10
65,26,E06000023,357680,23,1662,South West,A3029,170690,"Bristol, City of",1,74625,9,124,E,279,6/28/2001,2001,170660,8,13,1225,A38,357810,13,PU,357750,0,170620,A38 West street,11
63,22,E06000023,357680,13,1854,South West,A3029,170690,"Bristol, City of",4,74625,8,113,E,296,6/28/2001,2001,170660,26,15,1397,A38,357810,10,PU,357750,4,170620,A38 West street,12
57,30,E06000023,357680,12,1711,South West,A3029,170690,"Bristol, City of",2,74625,9,106,E,259,6/28/2001,2001,170660,17,18,1299,A38,357810,8,PU,357750,5,170620,A38 West street,13
66,27,E06000023,357680,22,1841,South West,A3029,170690,"Bristol, City of",4,74625,5,117,E,297,6/28/2001,2001,170660,21,13,1379,A38,357810,7,PU,357750,4,170620,A38 West street,14
86,36,E06000023,357680,20,1896,South West,A3029,170690,"Bristol, City of",7,74625,8,140,E,301,6/28/2001,2001,170660,23,10,1396,A38,357810,9,PU,357750,8,170620,A38 West street,15
38,24,E06000023,357680,9,2293,South West,A3029,170690,"Bristol, City of",2,74625,4,68,E,375,6/28/2001,2001,170660,42,9,1784,A38,357810,6,PU,357750,34,170620,A38 West street,16
28,36,E06000023,357680,2,2506,South West,A3029,170690,"Bristol, City of",4,74625,2,43,E,281,6/28/2001,2001,170660,57,6,2089,A38,357810,1,PU,357750,22,170620,A38 West street,17
16,25,E06000023,357680,2,1993,South West,A3029,170690,"Bristol, City of",2,74625,3,24,E,207,6/28/2001,2001,170660,28,1,1709,A38,357810,0,PU,357750,9,170620,A38 West street,18
