HGVR2,BUS,ONS LACode,HGVR4,AMV,Region Name (GO),CP Location,ONS LA Name,HGVA3,CP,HGVA6,HGV,iDir,LGV,dCount,Year,S Ref N,2WMV,HGVA5,CAR,Road,HGVR3,RCat,S Ref E,PC,Road Name,Hour
0,5,E06000025,0,144,South West,South of Ellinghurst Farm,South Gloucestershire,0,947485,0,0,N,19,5/8/2012,2012,184035,1,0,119,B4055,0,BR,356199,3,MARSH COMMON ROAD,7
5,3,E06000025,0,179,South West,South of Ellinghurst Farm,South Gloucestershire,0,947485,0,5,N,32,5/8/2012,2012,184035,0,0,139,B4055,0,BR,356199,1,MARSH COMMON ROAD,8
1,1,E06000025,2,130,South West,South of Ellinghurst Farm,South Gloucestershire,1,947485,0,5,N,31,5/8/2012,2012,184035,0,1,93,B4055,0,BR,356199,0,MARSH COMMON ROAD,9
2,1,E06000025,2,124,South West,South of Ellinghurst Farm,South Gloucestershire,0,947485,0,5,N,31,5/8/2012,2012,184035,0,0,87,B4055,1,BR,356199,1,MARSH COMMON ROAD,10
3,2,E06000025,2,139,South West,South of Ellinghurst Farm,South Gloucestershire,0,947485,0,5,N,21,5/8/2012,2012,184035,1,0,110,B4055,0,BR,356199,0,MARSH COMMON ROAD,11
1,2,E06000025,2,135,South West,South of Ellinghurst Farm,South Gloucestershire,0,947485,0,3,N,18,5/8/2012,2012,184035,2,0,110,B4055,0,BR,356199,10,MARSH COMMON ROAD,12
6,1,E06000025,0,191,South West,South of Ellinghurst Farm,South Gloucestershire,0,947485,0,6,N,28,5/8/2012,2012,184035,5,0,151,B4055,0,BR,356199,2,MARSH COMMON ROAD,13
3,1,E06000025,2,189,South West,South of Ellinghurst Farm,South Gloucestershire,1,947485,0,7,N,26,5/8/2012,2012,184035,2,0,153,B4055,1,BR,356199,0,MARSH COMMON ROAD,14
4,3,E06000025,0,225,South West,South of Ellinghurst Farm,South Gloucestershire,0,947485,0,6,N,22,5/8/2012,2012,184035,1,1,193,B4055,1,BR,356199,1,MARSH COMMON ROAD,15
1,1,E06000025,0,242,South West,South of Ellinghurst Farm,South Gloucestershire,0,947485,0,1,N,34,5/8/2012,2012,184035,4,0,202,B4055,0,BR,356199,3,MARSH COMMON ROAD,16
4,0,E06000025,0,338,South West,South of Ellinghurst Farm,South Gloucestershire,0,947485,0,4,N,25,5/8/2012,2012,184035,11,0,298,B4055,0,BR,356199,2,MARSH COMMON ROAD,17
1,1,E06000025,0,218,South West,South of Ellinghurst Farm,South Gloucestershire,0,947485,0,1,N,15,5/8/2012,2012,184035,4,0,197,B4055,0,BR,356199,3,MARSH COMMON ROAD,18
4,4,E06000025,0,255,South West,South of Ellinghurst Farm,South Gloucestershire,0,947485,0,4,S,40,5/8/2012,2012,184035,7,0,200,B4055,0,BR,356199,2,MARSH COMMON ROAD,7
4,3,E06000025,0,274,South West,South of Ellinghurst Farm,South Gloucestershire,0,947485,0,4,S,27,5/8/2012,2012,184035,3,0,237,B4055,0,BR,356199,1,MARSH COMMON ROAD,8
3,1,E06000025,1,172,South West,South of Ellinghurst Farm,South Gloucestershire,1,947485,0,5,S,16,5/8/2012,2012,184035,0,0,150,B4055,0,BR,356199,0,MARSH COMMON ROAD,9
1,2,E06000025,2,149,South West,South of Ellinghurst Farm,South Gloucestershire,1,947485,0,4,S,26,5/8/2012,2012,184035,0,0,117,B4055,0,BR,356199,0,MARSH COMMON ROAD,10
3,1,E06000025,2,161,South West,South of Ellinghurst Farm,South Gloucestershire,0,947485,0,5,S,20,5/8/2012,2012,184035,0,0,135,B4055,0,BR,356199,2,MARSH COMMON ROAD,11
5,0,E06000025,0,124,South West,South of Ellinghurst Farm,South Gloucestershire,1,947485,0,6,S,13,5/8/2012,2012,184035,0,0,105,B4055,0,BR,356199,0,MARSH COMMON ROAD,12
2,1,E06000025,2,141,South West,South of Ellinghurst Farm,South Gloucestershire,0,947485,0,4,S,24,5/8/2012,2012,184035,1,0,111,B4055,0,BR,356199,1,MARSH COMMON ROAD,13
3,2,E06000025,0,150,South West,South of Ellinghurst Farm,South Gloucestershire,0,947485,0,3,S,14,5/8/2012,2012,184035,2,0,129,B4055,0,BR,356199,0,MARSH COMMON ROAD,14
2,4,E06000025,0,213,South West,South of Ellinghurst Farm,South Gloucestershire,0,947485,0,2,S,30,5/8/2012,2012,184035,5,0,172,B4055,0,BR,356199,2,MARSH COMMON ROAD,15
0,4,E06000025,0,201,South West,South of Ellinghurst Farm,South Gloucestershire,0,947485,0,1,S,17,5/8/2012,2012,184035,3,0,176,B4055,1,BR,356199,4,MARSH COMMON ROAD,16
1,2,E06000025,0,216,South West,South of Ellinghurst Farm,South Gloucestershire,0,947485,0,1,S,21,5/8/2012,2012,184035,2,0,190,B4055,0,BR,356199,3,MARSH COMMON ROAD,17
1,0,E06000025,0,178,South West,South of Ellinghurst Farm,South Gloucestershire,0,947485,0,1,S,20,5/8/2012,2012,184035,2,0,155,B4055,0,BR,356199,2,MARSH COMMON ROAD,18
