HGVR2,BUS,ONS LACode,A Ref E,HGVR4,AMV,Region Name (GO),A-Junction,B Ref N,ONS LA Name,HGVA3,CP,HGVA6,HGV,iDir,LGV,dCount,Year,S Ref N,2WMV,HGVA5,CAR,Road,B Ref E,HGVR3,RCat,S Ref E,PC,A Ref N,B-Junction,Hour
4,10,E06000025,365520,0,722,South West,A4174,172570,South Gloucestershire,1,37184,0,9,E,153,6/23/2015,2015,172000,11,1,539,A431,363920,3,PU,364850,14,171490,LA Boundary,7
7,13,E06000025,365520,0,621,South West,A4174,172570,South Gloucestershire,0,37184,0,8,E,99,6/23/2015,2015,172000,5,0,496,A431,363920,1,PU,364850,10,171490,LA Boundary,8
2,10,E06000025,365520,0,687,South West,A4174,172570,South Gloucestershire,0,37184,0,4,E,115,6/23/2015,2015,172000,6,0,552,A431,363920,2,PU,364850,3,171490,LA Boundary,9
11,9,E06000025,365520,0,766,South West,A4174,172570,South Gloucestershire,0,37184,0,13,E,94,6/23/2015,2015,172000,4,1,646,A431,363920,1,PU,364850,3,171490,LA Boundary,10
5,9,E06000025,365520,0,690,South West,A4174,172570,South Gloucestershire,0,37184,0,8,E,100,6/23/2015,2015,172000,5,0,568,A431,363920,3,PU,364850,9,171490,LA Boundary,11
4,6,E06000025,365520,0,752,South West,A4174,172570,South Gloucestershire,2,37184,1,10,E,114,6/23/2015,2015,172000,7,1,615,A431,363920,2,PU,364850,3,171490,LA Boundary,12
2,7,E06000025,365520,0,667,South West,A4174,172570,South Gloucestershire,0,37184,0,5,E,94,6/23/2015,2015,172000,4,0,557,A431,363920,3,PU,364850,4,171490,LA Boundary,13
7,9,E06000025,365520,0,630,South West,A4174,172570,South Gloucestershire,0,37184,0,10,E,90,6/23/2015,2015,172000,5,0,516,A431,363920,3,PU,364850,14,171490,LA Boundary,14
3,9,E06000025,365520,0,726,South West,A4174,172570,South Gloucestershire,0,37184,0,5,E,116,6/23/2015,2015,172000,7,0,589,A431,363920,2,PU,364850,14,171490,LA Boundary,15
4,6,E06000025,365520,3,971,South West,A4174,172570,South Gloucestershire,0,37184,0,7,E,136,6/23/2015,2015,172000,6,0,816,A431,363920,0,PU,364850,18,171490,LA Boundary,16
3,8,E06000025,365520,0,973,South West,A4174,172570,South Gloucestershire,0,37184,1,5,E,85,6/23/2015,2015,172000,15,0,860,A431,363920,1,PU,364850,19,171490,LA Boundary,17
2,5,E06000025,365520,0,900,South West,A4174,172570,South Gloucestershire,0,37184,0,2,E,81,6/23/2015,2015,172000,13,0,799,A431,363920,0,PU,364850,21,171490,LA Boundary,18
2,8,E06000025,365520,1,754,South West,A4174,172570,South Gloucestershire,0,37184,0,7,W,155,6/23/2015,2015,172000,13,0,571,A431,363920,4,PU,364850,12,171490,LA Boundary,7
3,8,E06000025,365520,0,698,South West,A4174,172570,South Gloucestershire,0,37184,0,4,W,107,6/23/2015,2015,172000,7,0,572,A431,363920,1,PU,364850,2,171490,LA Boundary,8
13,11,E06000025,365520,0,648,South West,A4174,172570,South Gloucestershire,0,37184,1,18,W,95,6/23/2015,2015,172000,8,1,516,A431,363920,3,PU,364850,5,171490,LA Boundary,9
9,8,E06000025,365520,1,618,South West,A4174,172570,South Gloucestershire,2,37184,0,15,W,79,6/23/2015,2015,172000,5,0,511,A431,363920,3,PU,364850,4,171490,LA Boundary,10
10,7,E06000025,365520,0,657,South West,A4174,172570,South Gloucestershire,1,37184,1,12,W,85,6/23/2015,2015,172000,7,0,546,A431,363920,0,PU,364850,3,171490,LA Boundary,11
5,7,E06000025,365520,0,552,South West,A4174,172570,South Gloucestershire,0,37184,0,6,W,86,6/23/2015,2015,172000,3,0,450,A431,363920,1,PU,364850,2,171490,LA Boundary,12
9,8,E06000025,365520,1,672,South West,A4174,172570,South Gloucestershire,1,37184,0,14,W,95,6/23/2015,2015,172000,6,2,549,A431,363920,1,PU,364850,0,171490,LA Boundary,13
6,6,E06000025,365520,1,721,South West,A4174,172570,South Gloucestershire,0,37184,0,11,W,89,6/23/2015,2015,172000,7,1,608,A431,363920,3,PU,364850,4,171490,LA Boundary,14
10,7,E06000025,365520,0,708,South West,A4174,172570,South Gloucestershire,2,37184,0,13,W,98,6/23/2015,2015,172000,6,0,584,A431,363920,1,PU,364850,4,171490,LA Boundary,15
5,11,E06000025,365520,1,700,South West,A4174,172570,South Gloucestershire,0,37184,1,8,W,92,6/23/2015,2015,172000,6,0,583,A431,363920,1,PU,364850,9,171490,LA Boundary,16
2,4,E06000025,365520,1,776,South West,A4174,172570,South Gloucestershire,0,37184,0,3,W,97,6/23/2015,2015,172000,12,0,660,A431,363920,0,PU,364850,16,171490,LA Boundary,17
0,12,E06000025,365520,0,775,South West,A4174,172570,South Gloucestershire,0,37184,0,0,W,60,6/23/2015,2015,172000,14,0,689,A431,363920,0,PU,364850,10,171490,LA Boundary,18
