HGVR2,BUS,ONS LACode,A Ref E,HGVR4,AMV,Region Name (GO),A-Junction,B Ref N,ONS LA Name,HGVA3,CP,HGVA6,HGV,iDir,LGV,dCount,Year,S Ref N,2WMV,HGVA5,CAR,Road,B Ref E,HGVR3,RCat,S Ref E,PC,A Ref N,B-Junction,Hour
31,48,E06000023,358510,2,992,South West,A4018,173050,"Bristol, City of",1,74770,2,40,E,118,5/1/2001,2001,172848,25,1,761,A38,358650,3,PU,358556,17,172750,A38 Colston Avenue roundabout,7
20,72,E06000023,358510,0,1324,South West,A4018,173050,"Bristol, City of",2,74770,0,30,E,89,5/1/2001,2001,172848,21,1,1112,A38,358650,7,PU,358556,25,172750,A38 Colston Avenue roundabout,8
22,69,E06000023,358510,3,1018,South West,A4018,173050,"Bristol, City of",1,74770,2,32,E,104,5/1/2001,2001,172848,23,1,790,A38,358650,3,PU,358556,38,172750,A38 Colston Avenue roundabout,9
36,59,E06000023,358510,4,866,South West,A4018,173050,"Bristol, City of",3,74770,4,54,E,140,5/1/2001,2001,172848,9,2,604,A38,358650,5,PU,358556,12,172750,A38 Colston Avenue roundabout,10
42,50,E06000023,358510,3,952,South West,A4018,173050,"Bristol, City of",0,74770,3,58,E,156,5/1/2001,2001,172848,26,5,662,A38,358650,5,PU,358556,18,172750,A38 Colston Avenue roundabout,11
39,58,E06000023,358510,3,810,South West,A4018,173050,"Bristol, City of",1,74770,6,56,E,96,5/1/2001,2001,172848,12,4,588,A38,358650,3,PU,358556,14,172750,A38 Colston Avenue roundabout,12
32,52,E06000023,358510,1,787,South West,A4018,173050,"Bristol, City of",5,74770,2,45,E,97,5/1/2001,2001,172848,7,1,586,A38,358650,4,PU,358556,14,172750,A38 Colston Avenue roundabout,13
35,61,E06000023,358510,0,816,South West,A4018,173050,"Bristol, City of",2,74770,3,47,E,121,5/1/2001,2001,172848,14,2,573,A38,358650,5,PU,358556,6,172750,A38 Colston Avenue roundabout,14
44,55,E06000023,358510,0,839,South West,A4018,173050,"Bristol, City of",5,74770,2,54,E,126,5/1/2001,2001,172848,15,1,589,A38,358650,2,PU,358556,9,172750,A38 Colston Avenue roundabout,15
22,75,E06000023,358510,0,916,South West,A4018,173050,"Bristol, City of",2,74770,0,26,E,112,5/1/2001,2001,172848,21,0,682,A38,358650,2,PU,358556,11,172750,A38 Colston Avenue roundabout,16
9,47,E06000023,358510,0,851,South West,A4018,173050,"Bristol, City of",0,74770,1,12,E,63,5/1/2001,2001,172848,17,2,712,A38,358650,0,PU,358556,9,172750,A38 Colston Avenue roundabout,17
10,57,E06000023,358510,0,657,South West,A4018,173050,"Bristol, City of",0,74770,0,11,E,55,5/1/2001,2001,172848,8,1,526,A38,358650,0,PU,358556,9,172750,A38 Colston Avenue roundabout,18
15,45,E06000023,358510,1,1032,South West,A4018,173050,"Bristol, City of",0,74770,0,18,W,78,5/1/2001,2001,172848,31,0,860,A38,358650,2,PU,358556,13,172750,A38 Colston Avenue roundabout,7
15,67,E06000023,358510,1,1326,South West,A4018,173050,"Bristol, City of",3,74770,0,24,W,69,5/1/2001,2001,172848,44,1,1122,A38,358650,4,PU,358556,43,172750,A38 Colston Avenue roundabout,8
24,54,E06000023,358510,3,1049,South West,A4018,173050,"Bristol, City of",1,74770,0,29,W,76,5/1/2001,2001,172848,30,0,860,A38,358650,1,PU,358556,33,172750,A38 Colston Avenue roundabout,9
29,65,E06000023,358510,1,924,South West,A4018,173050,"Bristol, City of",4,74770,1,39,W,83,5/1/2001,2001,172848,25,1,712,A38,358650,3,PU,358556,10,172750,A38 Colston Avenue roundabout,10
22,45,E06000023,358510,1,966,South West,A4018,173050,"Bristol, City of",1,74770,2,37,W,94,5/1/2001,2001,172848,24,2,766,A38,358650,9,PU,358556,17,172750,A38 Colston Avenue roundabout,11
28,67,E06000023,358510,3,928,South West,A4018,173050,"Bristol, City of",0,74770,3,38,W,73,5/1/2001,2001,172848,18,0,732,A38,358650,4,PU,358556,13,172750,A38 Colston Avenue roundabout,12
17,47,E06000023,358510,0,941,South West,A4018,173050,"Bristol, City of",3,74770,2,27,W,83,5/1/2001,2001,172848,11,1,773,A38,358650,4,PU,358556,26,172750,A38 Colston Avenue roundabout,13
26,50,E06000023,358510,1,1002,South West,A4018,173050,"Bristol, City of",0,74770,1,34,W,86,5/1/2001,2001,172848,18,2,814,A38,358650,4,PU,358556,14,172750,A38 Colston Avenue roundabout,14
14,60,E06000023,358510,4,984,South West,A4018,173050,"Bristol, City of",2,74770,2,26,W,87,5/1/2001,2001,172848,26,0,785,A38,358650,4,PU,358556,11,172750,A38 Colston Avenue roundabout,15
8,52,E06000023,358510,2,1113,South West,A4018,173050,"Bristol, City of",1,74770,1,15,W,89,5/1/2001,2001,172848,26,0,931,A38,358650,3,PU,358556,13,172750,A38 Colston Avenue roundabout,16
10,64,E06000023,358510,0,1288,South West,A4018,173050,"Bristol, City of",0,74770,0,11,W,65,5/1/2001,2001,172848,31,0,1117,A38,358650,1,PU,358556,22,172750,A38 Colston Avenue roundabout,17
5,46,E06000023,358510,2,1116,South West,A4018,173050,"Bristol, City of",0,74770,0,11,W,55,5/1/2001,2001,172848,19,0,985,A38,358650,4,PU,358556,10,172750,A38 Colston Avenue roundabout,18
