HGVR2,BUS,ONS LACode,Road Name,A Ref E,HGVR4,AMV,Region Name (GO),CP Location,A-Junction,B Ref N,ONS LA Name,HGVA3,CP,HGVA6,HGV,iDir,LGV,dCount,Year,S Ref N,2WMV,HGVA5,CAR,Road,B Ref E,HGVR3,RCat,S Ref E,PC,A Ref N,B-Junction,Hour
20,44,E06000023,,360045,2,874,South West,,Clarence Rd,173510,"Bristol, City of",1,28348,0,28,S,127,3/23/2004,2004,173410,18,0,657,A420,360030,5,PU,360040,16,173344,Stapleton Rd,7
30,48,E06000023,,360045,2,989,South West,,Clarence Rd,173510,"Bristol, City of",0,28348,0,33,S,118,3/23/2004,2004,173410,17,0,773,A420,360030,1,PU,360040,24,173344,Stapleton Rd,8
23,52,E06000023,,360045,1,841,South West,,Clarence Rd,173510,"Bristol, City of",0,28348,1,27,S,170,3/23/2004,2004,173410,7,0,585,A420,360030,2,PU,360040,7,173344,Stapleton Rd,9
27,46,E06000023,,360045,2,871,South West,,Clarence Rd,173510,"Bristol, City of",0,28348,3,36,S,158,3/23/2004,2004,173410,5,0,626,A420,360030,4,PU,360040,5,173344,Stapleton Rd,10
30,48,E06000023,,360045,0,899,South West,,Clarence Rd,173510,"Bristol, City of",0,28348,2,36,S,122,3/23/2004,2004,173410,10,0,683,A420,360030,4,PU,360040,6,173344,Stapleton Rd,11
16,43,E06000023,,360045,0,975,South West,,Clarence Rd,173510,"Bristol, City of",0,28348,1,20,S,150,3/23/2004,2004,173410,19,0,743,A420,360030,3,PU,360040,4,173344,Stapleton Rd,12
25,42,E06000023,,360045,0,956,South West,,Clarence Rd,173510,"Bristol, City of",1,28348,0,26,S,141,3/23/2004,2004,173410,10,0,737,A420,360030,0,PU,360040,13,173344,Stapleton Rd,13
19,50,E06000023,,360045,2,1059,South West,,Clarence Rd,173510,"Bristol, City of",1,28348,0,24,S,151,3/23/2004,2004,173410,13,0,821,A420,360030,2,PU,360040,10,173344,Stapleton Rd,14
12,44,E06000023,,360045,1,1092,South West,,Clarence Rd,173510,"Bristol, City of",1,28348,0,14,S,160,3/23/2004,2004,173410,14,0,860,A420,360030,0,PU,360040,5,173344,Stapleton Rd,15
10,52,E06000023,,360045,1,1355,South West,,Clarence Rd,173510,"Bristol, City of",0,28348,0,14,S,164,3/23/2004,2004,173410,29,2,1096,A420,360030,1,PU,360040,10,173344,Stapleton Rd,16
7,58,E06000023,,360045,0,1769,South West,,Clarence Rd,173510,"Bristol, City of",0,28348,0,7,S,102,3/23/2004,2004,173410,52,0,1550,A420,360030,0,PU,360040,27,173344,Stapleton Rd,17
0,51,E06000023,,360045,0,1241,South West,,Clarence Rd,173510,"Bristol, City of",0,28348,0,0,S,55,3/23/2004,2004,173410,22,0,1113,A420,360030,0,PU,360040,21,173344,Stapleton Rd,18
4,6,E06000022,LANSDOWN ROAD,,0,444,South West,Bath,,,Bath and North East Somerset,0,930445,0,4,N,23,3/23/2004,2004,166480,4,0,407,U,,0,UU,374560,0,,,7
4,12,E06000022,LANSDOWN ROAD,,0,646,South West,Bath,,,Bath and North East Somerset,0,930445,0,4,N,23,3/23/2004,2004,166480,6,0,601,U,,0,UU,374560,4,,,8
4,9,E06000022,LANSDOWN ROAD,,0,241,South West,Bath,,,Bath and North East Somerset,0,930445,0,4,N,20,3/23/2004,2004,166480,1,0,207,U,,0,UU,374560,1,,,9
7,8,E06000022,LANSDOWN ROAD,,0,215,South West,Bath,,,Bath and North East Somerset,0,930445,0,7,N,31,3/23/2004,2004,166480,1,0,168,U,,0,UU,374560,0,,,10
4,8,E06000022,LANSDOWN ROAD,,1,188,South West,Bath,,,Bath and North East Somerset,0,930445,0,6,N,23,3/23/2004,2004,166480,1,0,150,U,,1,UU,374560,0,,,11
4,8,E06000022,LANSDOWN ROAD,,0,251,South West,Bath,,,Bath and North East Somerset,0,930445,0,4,N,36,3/23/2004,2004,166480,0,0,203,U,,0,UU,374560,0,,,12
2,7,E06000022,LANSDOWN ROAD,,1,240,South West,Bath,,,Bath and North East Somerset,0,930445,0,3,N,24,3/23/2004,2004,166480,1,0,205,U,,0,UU,374560,0,,,13
6,7,E06000022,LANSDOWN ROAD,,0,280,South West,Bath,,,Bath and North East Somerset,0,930445,0,6,N,41,3/23/2004,2004,166480,0,0,226,U,,0,UU,374560,0,,,14
2,7,E06000022,LANSDOWN ROAD,,0,305,South West,Bath,,,Bath and North East Somerset,0,930445,0,2,N,34,3/23/2004,2004,166480,1,0,261,U,,0,UU,374560,0,,,15
1,13,E06000022,LANSDOWN ROAD,,0,339,South West,Bath,,,Bath and North East Somerset,0,930445,0,1,N,31,3/23/2004,2004,166480,0,0,294,U,,0,UU,374560,1,,,16
2,8,E06000022,LANSDOWN ROAD,,0,426,South West,Bath,,,Bath and North East Somerset,0,930445,0,2,N,17,3/23/2004,2004,166480,1,0,398,U,,0,UU,374560,0,,,17
1,7,E06000022,LANSDOWN ROAD,,0,270,South West,Bath,,,Bath and North East Somerset,0,930445,0,1,N,11,3/23/2004,2004,166480,2,0,249,U,,0,UU,374560,2,,,18
1,5,E06000022,LANSDOWN ROAD,,0,233,South West,Bath,,,Bath and North East Somerset,0,930445,0,1,S,31,3/23/2004,2004,166480,1,0,195,U,,0,UU,374560,1,,,7
8,11,E06000022,LANSDOWN ROAD,,0,446,South West,Bath,,,Bath and North East Somerset,0,930445,0,8,S,45,3/23/2004,2004,166480,0,0,382,U,,0,UU,374560,0,,,8
10,8,E06000022,LANSDOWN ROAD,,0,285,South West,Bath,,,Bath and North East Somerset,0,930445,0,10,S,36,3/23/2004,2004,166480,0,0,231,U,,0,UU,374560,0,,,9
4,8,E06000022,LANSDOWN ROAD,,0,207,South West,Bath,,,Bath and North East Somerset,0,930445,0,5,S,20,3/23/2004,2004,166480,2,0,172,U,,1,UU,374560,0,,,10
9,7,E06000022,LANSDOWN ROAD,,1,180,South West,Bath,,,Bath and North East Somerset,0,930445,0,11,S,26,3/23/2004,2004,166480,1,0,135,U,,1,UU,374560,0,,,11
4,7,E06000022,LANSDOWN ROAD,,1,228,South West,Bath,,,Bath and North East Somerset,0,930445,0,5,S,28,3/23/2004,2004,166480,0,0,188,U,,0,UU,374560,0,,,12
4,7,E06000022,LANSDOWN ROAD,,1,252,South West,Bath,,,Bath and North East Somerset,0,930445,0,5,S,26,3/23/2004,2004,166480,3,0,211,U,,0,UU,374560,0,,,13
2,8,E06000022,LANSDOWN ROAD,,0,288,South West,Bath,,,Bath and North East Somerset,0,930445,0,2,S,32,3/23/2004,2004,166480,1,0,245,U,,0,UU,374560,1,,,14
2,8,E06000022,LANSDOWN ROAD,,0,317,South West,Bath,,,Bath and North East Somerset,0,930445,0,2,S,31,3/23/2004,2004,166480,2,0,274,U,,0,UU,374560,1,,,15
1,10,E06000022,LANSDOWN ROAD,,0,431,South West,Bath,,,Bath and North East Somerset,0,930445,0,1,S,20,3/23/2004,2004,166480,5,0,395,U,,0,UU,374560,2,,,16
0,7,E06000022,LANSDOWN ROAD,,0,473,South West,Bath,,,Bath and North East Somerset,0,930445,0,0,S,16,3/23/2004,2004,166480,2,0,448,U,,0,UU,374560,0,,,17
0,6,E06000022,LANSDOWN ROAD,,0,371,South West,Bath,,,Bath and North East Somerset,0,930445,0,0,S,10,3/23/2004,2004,166480,0,0,355,U,,0,UU,374560,1,,,18
