HGVR2,BUS,ONS LACode,HGVR4,AMV,Region Name (GO),CP Location,ONS LA Name,HGVA3,CP,HGVA6,HGV,iDir,LGV,dCount,Year,S Ref N,2WMV,HGVA5,CAR,Road,HGVR3,RCat,S Ref E,PC,Road Name,Hour
0,0,E06000025,0,21,South West,"west of Sundayshill Lane, Rockhampton",South Gloucestershire,0,979247,0,0,E,4,10/8/2002,2002,193657,0,0,17,C,0,CR,365455,3,Sundayshill Lane,7
2,0,E06000025,0,32,South West,"west of Sundayshill Lane, Rockhampton",South Gloucestershire,0,979247,0,2,E,2,10/8/2002,2002,193657,0,0,28,C,0,CR,365455,0,Sundayshill Lane,8
1,0,E06000025,0,15,South West,"west of Sundayshill Lane, Rockhampton",South Gloucestershire,0,979247,0,2,E,2,10/8/2002,2002,193657,0,0,11,C,1,CR,365455,1,Sundayshill Lane,9
0,0,E06000025,0,17,South West,"west of Sundayshill Lane, Rockhampton",South Gloucestershire,0,979247,0,0,E,4,10/8/2002,2002,193657,0,0,13,C,0,CR,365455,0,Sundayshill Lane,10
5,0,E06000025,0,27,South West,"west of Sundayshill Lane, Rockhampton",South Gloucestershire,0,979247,0,5,E,9,10/8/2002,2002,193657,1,0,12,C,0,CR,365455,0,Sundayshill Lane,11
0,0,E06000025,0,18,South West,"west of Sundayshill Lane, Rockhampton",South Gloucestershire,0,979247,0,0,E,8,10/8/2002,2002,193657,0,0,10,C,0,CR,365455,1,Sundayshill Lane,12
0,0,E06000025,0,22,South West,"west of Sundayshill Lane, Rockhampton",South Gloucestershire,1,979247,0,1,E,5,10/8/2002,2002,193657,0,0,16,C,0,CR,365455,0,Sundayshill Lane,13
0,0,E06000025,0,17,South West,"west of Sundayshill Lane, Rockhampton",South Gloucestershire,0,979247,0,0,E,7,10/8/2002,2002,193657,1,0,9,C,0,CR,365455,0,Sundayshill Lane,14
1,1,E06000025,1,35,South West,"west of Sundayshill Lane, Rockhampton",South Gloucestershire,0,979247,0,2,E,4,10/8/2002,2002,193657,1,0,27,C,0,CR,365455,1,Sundayshill Lane,15
0,0,E06000025,0,23,South West,"west of Sundayshill Lane, Rockhampton",South Gloucestershire,0,979247,0,0,E,5,10/8/2002,2002,193657,2,0,16,C,0,CR,365455,1,Sundayshill Lane,16
0,0,E06000025,0,30,South West,"west of Sundayshill Lane, Rockhampton",South Gloucestershire,0,979247,0,0,E,5,10/8/2002,2002,193657,0,0,25,C,0,CR,365455,4,Sundayshill Lane,17
0,0,E06000025,0,26,South West,"west of Sundayshill Lane, Rockhampton",South Gloucestershire,0,979247,0,0,E,4,10/8/2002,2002,193657,0,0,22,C,0,CR,365455,3,Sundayshill Lane,18
0,0,E06000025,0,10,South West,"west of Sundayshill Lane, Rockhampton",South Gloucestershire,0,979247,0,0,W,3,10/8/2002,2002,193657,1,0,6,C,0,CR,365455,0,Sundayshill Lane,7
0,1,E06000025,0,28,South West,"west of Sundayshill Lane, Rockhampton",South Gloucestershire,0,979247,0,0,W,5,10/8/2002,2002,193657,0,0,22,C,0,CR,365455,2,Sundayshill Lane,8
3,0,E06000025,0,25,South West,"west of Sundayshill Lane, Rockhampton",South Gloucestershire,0,979247,0,3,W,2,10/8/2002,2002,193657,1,0,19,C,0,CR,365455,0,Sundayshill Lane,9
0,0,E06000025,0,18,South West,"west of Sundayshill Lane, Rockhampton",South Gloucestershire,0,979247,0,0,W,4,10/8/2002,2002,193657,0,0,14,C,0,CR,365455,1,Sundayshill Lane,10
2,0,E06000025,0,17,South West,"west of Sundayshill Lane, Rockhampton",South Gloucestershire,0,979247,0,2,W,5,10/8/2002,2002,193657,0,0,10,C,0,CR,365455,0,Sundayshill Lane,11
1,0,E06000025,0,28,South West,"west of Sundayshill Lane, Rockhampton",South Gloucestershire,0,979247,0,1,W,9,10/8/2002,2002,193657,1,0,17,C,0,CR,365455,0,Sundayshill Lane,12
0,0,E06000025,0,19,South West,"west of Sundayshill Lane, Rockhampton",South Gloucestershire,0,979247,0,0,W,3,10/8/2002,2002,193657,0,0,16,C,0,CR,365455,0,Sundayshill Lane,13
0,0,E06000025,0,18,South West,"west of Sundayshill Lane, Rockhampton",South Gloucestershire,0,979247,0,0,W,6,10/8/2002,2002,193657,0,0,12,C,0,CR,365455,0,Sundayshill Lane,14
0,0,E06000025,0,22,South West,"west of Sundayshill Lane, Rockhampton",South Gloucestershire,0,979247,0,0,W,3,10/8/2002,2002,193657,1,0,18,C,0,CR,365455,1,Sundayshill Lane,15
0,0,E06000025,0,25,South West,"west of Sundayshill Lane, Rockhampton",South Gloucestershire,0,979247,0,0,W,6,10/8/2002,2002,193657,0,0,19,C,0,CR,365455,0,Sundayshill Lane,16
0,0,E06000025,0,22,South West,"west of Sundayshill Lane, Rockhampton",South Gloucestershire,0,979247,0,0,W,1,10/8/2002,2002,193657,0,0,21,C,0,CR,365455,3,Sundayshill Lane,17
2,0,E06000025,0,25,South West,"west of Sundayshill Lane, Rockhampton",South Gloucestershire,0,979247,0,2,W,3,10/8/2002,2002,193657,0,0,20,C,0,CR,365455,1,Sundayshill Lane,18
