HGVR2,BUS,ONS LACode,Road Name,A Ref E,HGVR4,AMV,Region Name (GO),CP Location,A-Junction,B Ref N,ONS LA Name,HGVA3,CP,HGVA6,HGV,iDir,LGV,dCount,Year,S Ref N,2WMV,HGVA5,CAR,Road,B Ref E,HGVR3,RCat,S Ref E,PC,A Ref N,B-Junction,Hour
166,2,E06000023,,352952,33,1204,South West,,Junction 18 M5,178100,"Bristol, City of",17,26021,50,372,E,241,9/23/2005,2005,178100,13,62,576,M5,352500,44,TM,352600,0,178032,merge of feeder roads,7
122,12,E06000023,,352952,26,1395,South West,,Junction 18 M5,178100,"Bristol, City of",15,26021,60,314,E,229,9/23/2005,2005,178100,3,70,837,M5,352500,21,TM,352600,0,178032,merge of feeder roads,8
113,6,E06000023,,352952,38,1073,South West,,Junction 18 M5,178100,"Bristol, City of",10,26021,58,303,E,104,9/23/2005,2005,178100,4,68,656,M5,352500,16,TM,352600,0,178032,merge of feeder roads,9
110,4,E06000023,,352952,20,1028,South West,,Junction 18 M5,178100,"Bristol, City of",12,26021,51,288,E,83,9/23/2005,2005,178100,5,77,648,M5,352500,18,TM,352600,0,178032,merge of feeder roads,10
78,2,E06000023,,352952,22,1064,South West,,Junction 18 M5,178100,"Bristol, City of",16,26021,45,249,E,213,9/23/2005,2005,178100,11,67,589,M5,352500,21,TM,352600,0,178032,merge of feeder roads,11
58,6,E06000023,,352952,22,1201,South West,,Junction 18 M5,178100,"Bristol, City of",16,26021,38,209,E,173,9/23/2005,2005,178100,1,62,812,M5,352500,13,TM,352600,0,178032,merge of feeder roads,12
82,6,E06000023,,352952,18,1475,South West,,Junction 18 M5,178100,"Bristol, City of",31,26021,48,253,E,246,9/23/2005,2005,178100,7,61,963,M5,352500,13,TM,352600,0,178032,merge of feeder roads,13
57,8,E06000023,,352952,21,1454,South West,,Junction 18 M5,178100,"Bristol, City of",5,26021,53,215,E,189,9/23/2005,2005,178100,10,57,1032,M5,352500,22,TM,352600,0,178032,merge of feeder roads,14
67,13,E06000023,,352952,19,1597,South West,,Junction 18 M5,178100,"Bristol, City of",6,26021,34,177,E,72,9/23/2005,2005,178100,8,38,1327,M5,352500,13,TM,352600,0,178032,merge of feeder roads,15
54,11,E06000023,,352952,8,2194,South West,,Junction 18 M5,178100,"Bristol, City of",6,26021,35,161,E,73,9/23/2005,2005,178100,21,45,1928,M5,352500,13,TM,352600,0,178032,merge of feeder roads,16
