HGVR2,BUS,ONS LACode,A Ref E,HGVR4,AMV,Region Name (GO),A-Junction,B Ref N,ONS LA Name,HGVA3,CP,HGVA6,HGV,iDir,LGV,dCount,Year,S Ref N,2WMV,HGVA5,CAR,Road,B Ref E,HGVR3,RCat,S Ref E,PC,A Ref N,B-Junction,Hour
47,5,E06000022,366519,5,1031,South West,B3116,165330,Bath and North East Somerset,2,26127,2,72,E,188,9/15/2004,2004,165500,11,7,755,A4,370150,9,TR,370000,2,168269,A39,7
41,11,E06000022,366519,5,1182,South West,B3116,165330,Bath and North East Somerset,1,26127,6,60,E,197,9/15/2004,2004,165500,32,2,882,A4,370150,5,TR,370000,10,168269,A39,8
46,11,E06000022,366519,10,920,South West,B3116,165330,Bath and North East Somerset,3,26127,6,73,E,154,9/15/2004,2004,165500,11,2,671,A4,370150,6,TR,370000,5,168269,A39,9
37,8,E06000022,366519,4,783,South West,B3116,165330,Bath and North East Somerset,4,26127,13,63,E,149,9/15/2004,2004,165500,8,2,555,A4,370150,3,TR,370000,2,168269,A39,10
27,11,E06000022,366519,6,782,South West,B3116,165330,Bath and North East Somerset,1,26127,4,46,E,164,9/15/2004,2004,165500,12,3,549,A4,370150,5,TR,370000,2,168269,A39,11
30,7,E06000022,366519,8,769,South West,B3116,165330,Bath and North East Somerset,3,26127,10,59,E,122,9/15/2004,2004,165500,11,1,570,A4,370150,7,TR,370000,0,168269,A39,12
35,8,E06000022,366519,3,791,South West,B3116,165330,Bath and North East Somerset,0,26127,4,47,E,154,9/15/2004,2004,165500,12,2,570,A4,370150,3,TR,370000,0,168269,A39,13
14,9,E06000022,366519,12,804,South West,B3116,165330,Bath and North East Somerset,0,26127,8,50,E,114,9/15/2004,2004,165500,11,5,620,A4,370150,11,TR,370000,0,168269,A39,14
27,12,E06000022,366519,8,657,South West,B3116,165330,Bath and North East Somerset,0,26127,6,50,E,91,9/15/2004,2004,165500,8,3,496,A4,370150,6,TR,370000,1,168269,A39,15
12,3,E06000022,366519,2,717,South West,B3116,165330,Bath and North East Somerset,0,26127,1,20,E,107,9/15/2004,2004,165500,14,1,573,A4,370150,4,TR,370000,1,168269,A39,16
4,10,E06000022,366519,0,784,South West,B3116,165330,Bath and North East Somerset,1,26127,1,12,E,57,9/15/2004,2004,165500,28,2,677,A4,370150,4,TR,370000,4,168269,A39,17
6,10,E06000022,366519,0,791,South West,B3116,165330,Bath and North East Somerset,1,26127,1,8,E,81,9/15/2004,2004,165500,18,0,674,A4,370150,0,TR,370000,1,168269,A39,18
21,12,E06000022,366519,4,1029,South West,B3116,165330,Bath and North East Somerset,0,26127,1,33,W,118,9/15/2004,2004,165500,26,3,840,A4,370150,4,TR,370000,2,168269,A39,7
28,12,E06000022,366519,8,814,South West,B3116,165330,Bath and North East Somerset,3,26127,3,55,W,103,9/15/2004,2004,165500,32,6,612,A4,370150,7,TR,370000,3,168269,A39,8
33,10,E06000022,366519,5,805,South West,B3116,165330,Bath and North East Somerset,3,26127,9,57,W,109,9/15/2004,2004,165500,7,4,622,A4,370150,3,TR,370000,0,168269,A39,9
39,11,E06000022,366519,7,731,South West,B3116,165330,Bath and North East Somerset,4,26127,6,60,W,101,9/15/2004,2004,165500,10,0,549,A4,370150,4,TR,370000,3,168269,A39,10
33,6,E06000022,366519,5,769,South West,B3116,165330,Bath and North East Somerset,1,26127,11,61,W,128,9/15/2004,2004,165500,11,2,563,A4,370150,9,TR,370000,3,168269,A39,11
40,10,E06000022,366519,8,803,South West,B3116,165330,Bath and North East Somerset,1,26127,3,61,W,116,9/15/2004,2004,165500,12,4,604,A4,370150,5,TR,370000,0,168269,A39,12
33,8,E06000022,366519,3,854,South West,B3116,165330,Bath and North East Somerset,0,26127,1,46,W,120,9/15/2004,2004,165500,5,5,675,A4,370150,4,TR,370000,0,168269,A39,13
40,8,E06000022,366519,11,642,South West,B3116,165330,Bath and North East Somerset,2,26127,9,75,W,138,9/15/2004,2004,165500,6,6,415,A4,370150,7,TR,370000,1,168269,A39,14
32,13,E06000022,366519,6,877,South West,B3116,165330,Bath and North East Somerset,0,26127,4,55,W,132,9/15/2004,2004,165500,16,6,661,A4,370150,7,TR,370000,0,168269,A39,15
32,7,E06000022,366519,7,986,South West,B3116,165330,Bath and North East Somerset,1,26127,6,54,W,142,9/15/2004,2004,165500,24,7,759,A4,370150,1,TR,370000,0,168269,A39,16
13,10,E06000022,366519,0,1001,South West,B3116,165330,Bath and North East Somerset,0,26127,3,22,W,91,9/15/2004,2004,165500,20,3,858,A4,370150,3,TR,370000,4,168269,A39,17
7,6,E06000022,366519,1,884,South West,B3116,165330,Bath and North East Somerset,0,26127,2,14,W,44,9/15/2004,2004,165500,13,3,807,A4,370150,1,TR,370000,7,168269,A39,18
