HGVR2,BUS,ONS LACode,A Ref E,HGVR4,AMV,Region Name (GO),A-Junction,B Ref N,ONS LA Name,HGVA3,CP,HGVA6,HGV,iDir,LGV,dCount,Year,S Ref N,2WMV,HGVA5,CAR,Road,B Ref E,HGVR3,RCat,S Ref E,PC,A Ref N,B-Junction,Hour
86,8,E06000024,341771,9,4203,South West,20,175620,North Somerset,28,56021,35,254,N,586,6/21/2006,2006,174700,33,80,3322,M5,350670,16,TM,348700,1,170680,19,7
77,9,E06000024,341771,7,3835,South West,20,175620,North Somerset,47,56021,48,287,N,436,6/21/2006,2006,174700,28,89,3075,M5,350670,19,TM,348700,0,170680,19,8
93,27,E06000024,341771,4,2758,South West,20,175620,North Somerset,40,56021,56,298,N,214,6/21/2006,2006,174700,11,93,2208,M5,350670,12,TM,348700,0,170680,19,9
101,21,E06000024,341771,12,2491,South West,20,175620,North Somerset,39,56021,76,381,N,169,6/21/2006,2006,174700,4,130,1916,M5,350670,23,TM,348700,0,170680,19,10
78,3,E06000024,341771,23,2723,South West,20,175620,North Somerset,27,56021,85,326,N,280,6/21/2006,2006,174700,10,95,2104,M5,350670,18,TM,348700,0,170680,19,11
96,9,E06000024,341771,9,2837,South West,20,175620,North Somerset,21,56021,70,351,N,359,6/21/2006,2006,174700,17,134,2101,M5,350670,21,TM,348700,0,170680,19,12
145,21,E06000024,341771,8,2702,South West,20,175620,North Somerset,43,56021,76,413,N,317,6/21/2006,2006,174700,8,120,1943,M5,350670,21,TM,348700,0,170680,19,13
147,26,E06000024,341771,5,2775,South West,20,175620,North Somerset,40,56021,91,409,N,355,6/21/2006,2006,174700,11,105,1974,M5,350670,21,TM,348700,0,170680,19,14
119,19,E06000024,341771,2,2531,South West,20,175620,North Somerset,26,56021,80,364,N,232,6/21/2006,2006,174700,6,114,1910,M5,350670,23,TM,348700,0,170680,19,15
119,14,E06000024,341771,7,3023,South West,20,175620,North Somerset,32,56021,80,347,N,327,6/21/2006,2006,174700,6,103,2329,M5,350670,6,TM,348700,0,170680,19,16
73,27,E06000024,341771,6,3020,South West,20,175620,North Somerset,30,56021,84,276,N,287,6/21/2006,2006,174700,8,78,2422,M5,350670,5,TM,348700,0,170680,19,17
75,16,E06000024,341771,1,2113,South West,20,175620,North Somerset,32,56021,72,260,N,186,6/21/2006,2006,174700,8,72,1643,M5,350670,8,TM,348700,0,170680,19,18
185,2,E06000024,341771,3,2951,South West,20,175620,North Somerset,28,56021,125,475,S,486,6/21/2006,2006,174700,26,102,1962,M5,350670,32,TM,348700,0,170680,19,7
116,6,E06000024,341771,9,3018,South West,20,175620,North Somerset,40,56021,71,375,S,441,6/21/2006,2006,174700,23,124,2173,M5,350670,15,TM,348700,0,170680,19,8
61,2,E06000024,341771,8,2109,South West,20,175620,North Somerset,17,56021,81,291,S,133,6/21/2006,2006,174700,8,113,1675,M5,350670,11,TM,348700,0,170680,19,9
94,29,E06000024,341771,6,1962,South West,20,175620,North Somerset,18,56021,85,295,S,151,6/21/2006,2006,174700,6,76,1481,M5,350670,16,TM,348700,0,170680,19,10
98,19,E06000024,341771,7,2086,South West,20,175620,North Somerset,31,56021,82,300,S,211,6/21/2006,2006,174700,4,71,1552,M5,350670,11,TM,348700,0,170680,19,11
72,7,E06000024,341771,4,2184,South West,20,175620,North Somerset,17,56021,53,263,S,220,6/21/2006,2006,174700,10,100,1684,M5,350670,17,TM,348700,0,170680,19,12
93,10,E06000024,341771,4,2785,South West,20,175620,North Somerset,24,56021,53,285,S,265,6/21/2006,2006,174700,19,100,2206,M5,350670,11,TM,348700,0,170680,19,13
106,11,E06000024,341771,6,2550,South West,20,175620,North Somerset,33,56021,67,294,S,260,6/21/2006,2006,174700,19,69,1966,M5,350670,13,TM,348700,0,170680,19,14
90,5,E06000024,341771,9,2563,South West,20,175620,North Somerset,34,56021,75,310,S,106,6/21/2006,2006,174700,33,84,2109,M5,350670,18,TM,348700,0,170680,19,15
88,2,E06000024,341771,9,3252,South West,20,175620,North Somerset,21,56021,54,263,S,185,6/21/2006,2006,174700,11,74,2791,M5,350670,17,TM,348700,0,170680,19,16
47,10,E06000024,341771,2,4145,South West,20,175620,North Somerset,23,56021,60,205,S,405,6/21/2006,2006,174700,34,64,3491,M5,350670,9,TM,348700,0,170680,19,17
42,10,E06000024,341771,1,3577,South West,20,175620,North Somerset,14,56021,57,177,S,241,6/21/2006,2006,174700,32,57,3117,M5,350670,6,TM,348700,0,170680,19,18
