HGVR2,BUS,ONS LACode,Road Name,A Ref E,HGVR4,AMV,Region Name (GO),CP Location,A-Junction,B Ref N,ONS LA Name,HGVA3,CP,HGVA6,HGV,iDir,LGV,dCount,Year,S Ref N,2WMV,HGVA5,CAR,Road,B Ref E,HGVR3,RCat,S Ref E,PC,A Ref N,B-Junction,Hour
21,1,E06000025,,357334,9,428,South West,,1,185800,South Gloucestershire,5,99167,19,89,N,87,5/18/2005,2005,187250,3,31,248,M48,360000,4,TM,359000,0,189333,M4 (21),7
15,1,E06000025,,357334,7,560,South West,,1,185800,South Gloucestershire,4,99167,22,87,N,70,5/18/2005,2005,187250,1,34,401,M48,360000,5,TM,359000,1,189333,M4 (21),8
22,5,E06000025,,357334,5,479,South West,,1,185800,South Gloucestershire,8,99167,23,103,N,56,5/18/2005,2005,187250,4,36,311,M48,360000,9,TM,359000,0,189333,M4 (21),9
17,4,E06000025,,357334,4,356,South West,,1,185800,South Gloucestershire,10,99167,29,91,N,41,5/18/2005,2005,187250,6,28,214,M48,360000,3,TM,359000,0,189333,M4 (21),10
29,4,E06000025,,357334,9,407,South West,,1,185800,South Gloucestershire,13,99167,20,107,N,45,5/18/2005,2005,187250,3,29,248,M48,360000,7,TM,359000,0,189333,M4 (21),11
35,2,E06000025,,357334,7,466,South West,,1,185800,South Gloucestershire,11,99167,26,121,N,59,5/18/2005,2005,187250,2,34,282,M48,360000,8,TM,359000,0,189333,M4 (21),12
45,3,E06000025,,357334,7,527,South West,,1,185800,South Gloucestershire,8,99167,31,139,N,49,5/18/2005,2005,187250,3,41,333,M48,360000,7,TM,359000,0,189333,M4 (21),13
42,3,E06000025,,357334,11,643,South West,,1,185800,South Gloucestershire,12,99167,39,154,N,80,5/18/2005,2005,187250,5,47,401,M48,360000,3,TM,359000,0,189333,M4 (21),14
35,1,E06000025,,357334,10,818,South West,,1,185800,South Gloucestershire,14,99167,36,146,N,103,5/18/2005,2005,187250,9,47,559,M48,360000,4,TM,359000,0,189333,M4 (21),15
20,5,E06000025,,357334,6,1096,South West,,1,185800,South Gloucestershire,14,99167,26,114,N,100,5/18/2005,2005,187250,25,41,852,M48,360000,7,TM,359000,0,189333,M4 (21),16
17,10,E06000025,,357334,2,1192,South West,,1,185800,South Gloucestershire,7,99167,27,92,N,87,5/18/2005,2005,187250,30,33,973,M48,360000,6,TM,359000,0,189333,M4 (21),17
10,5,E06000025,,357334,0,903,South West,,1,185800,South Gloucestershire,1,99167,21,59,N,37,5/18/2005,2005,187250,33,27,769,M48,360000,0,TM,359000,0,189333,M4 (21),18
40,3,E06000025,,357334,8,1416,South West,,1,185800,South Gloucestershire,8,99167,20,112,S,132,5/18/2005,2005,187250,35,31,1134,M48,360000,5,TM,359000,0,189333,M4 (21),7
28,3,E06000025,,357334,7,1020,South West,,1,185800,South Gloucestershire,7,99167,21,100,S,82,5/18/2005,2005,187250,21,32,814,M48,360000,5,TM,359000,0,189333,M4 (21),8
