dCount,HGVR3,HGVA3,RCat,A Ref N,B Ref E,A Ref E,2WMV,HGVR4,CAR,ONS LA Name,B Ref N,ONS LACode,CP,HGV,Hour,PC,B-Junction,iDir,HGVR2,BUS,A-Junction,S Ref E,S Ref N,Road,CP Location,HGVA6,Region Name (GO),Road Name,HGVA5,LGV,AMV,Year
3/23/2000,6,0,PR,161050,339890,335210,3,7,179,North Somerset,159050,E06000024,6995,23,7,4,A368 Banwell,E,7,3,A370,336700,160000,A371,,0,South West,,3,72,280,2000
3/23/2000,1,2,PR,161050,339890,335210,1,9,194,North Somerset,159050,E06000024,6995,21,8,1,A368 Banwell,E,6,11,A370,336700,160000,A371,,2,South West,,1,49,276,2000
3/23/2000,0,0,PR,161050,339890,335210,1,9,177,North Somerset,159050,E06000024,6995,20,9,0,A368 Banwell,E,9,3,A370,336700,160000,A371,,1,South West,,1,48,249,2000
3/23/2000,3,0,PR,161050,339890,335210,2,4,187,North Somerset,159050,E06000024,6995,21,10,0,A368 Banwell,E,14,5,A370,336700,160000,A371,,0,South West,,0,38,253,2000
3/23/2000,4,0,PR,161050,339890,335210,3,8,245,North Somerset,159050,E06000024,6995,22,11,0,A368 Banwell,E,10,1,A370,336700,160000,A371,,0,South West,,0,51,322,2000
3/23/2000,2,0,PR,161050,339890,335210,0,10,246,North Somerset,159050,E06000024,6995,19,12,0,A368 Banwell,E,5,0,A370,336700,160000,A371,,2,South West,,0,43,308,2000
3/23/2000,3,1,PR,161050,339890,335210,1,2,252,North Somerset,159050,E06000024,6995,17,13,1,A368 Banwell,E,8,2,A370,336700,160000,A371,,0,South West,,3,32,304,2000
3/23/2000,4,0,PR,161050,339890,335210,0,7,247,North Somerset,159050,E06000024,6995,17,14,2,A368 Banwell,E,6,14,A370,336700,160000,A371,,0,South West,,0,38,316,2000
3/23/2000,2,0,PR,161050,339890,335210,2,6,298,North Somerset,159050,E06000024,6995,20,15,0,A368 Banwell,E,8,1,A370,336700,160000,A371,,1,South West,,3,39,360,2000
3/23/2000,1,1,PR,161050,339890,335210,3,4,283,North Somerset,159050,E06000024,6995,16,16,0,A368 Banwell,E,8,4,A370,336700,160000,A371,,0,South West,,2,37,343,2000
