dCount,HGVR3,HGVA3,RCat,A Ref N,B Ref E,A Ref E,2WMV,HGVR4,CAR,ONS LA Name,B Ref N,ONS LACode,CP,HGV,Hour,PC,B-Junction,iDir,HGVR2,BUS,S Ref E,A-Junction,S Ref N,Road,CP Location,HGVA6,Region Name (GO),Road Name,HGVA5,LGV,AMV,Year
10/17/2008,0,0,UU,,,,2,0,10,"Bristol, City of",,E06000023,946792,1,7,1,,E,1,6,360307,,167016,U,East of Kilbirnie Road,0,South West,LONGACRE ROAD,0,5,24,2008
10/17/2008,0,0,UU,,,,1,0,24,"Bristol, City of",,E06000023,946792,0,8,0,,E,0,5,360307,,167016,U,East of Kilbirnie Road,0,South West,LONGACRE ROAD,0,1,31,2008
10/17/2008,0,0,UU,,,,0,0,19,"Bristol, City of",,E06000023,946792,0,9,1,,E,0,5,360307,,167016,U,East of Kilbirnie Road,0,South West,LONGACRE ROAD,0,4,28,2008
10/17/2008,0,0,UU,,,,0,0,19,"Bristol, City of",,E06000023,946792,1,10,1,,E,1,1,360307,,167016,U,East of Kilbirnie Road,0,South West,LONGACRE ROAD,0,3,24,2008
10/17/2008,0,0,UU,,,,0,0,15,"Bristol, City of",,E06000023,946792,0,11,2,,E,0,2,360307,,167016,U,East of Kilbirnie Road,0,South West,LONGACRE ROAD,0,4,21,2008
10/17/2008,0,0,UU,,,,0,0,16,"Bristol, City of",,E06000023,946792,0,12,0,,E,0,6,360307,,167016,U,East of Kilbirnie Road,0,South West,LONGACRE ROAD,0,3,25,2008
10/17/2008,0,0,UU,,,,1,0,19,"Bristol, City of",,E06000023,946792,0,13,1,,E,0,4,360307,,167016,U,East of Kilbirnie Road,0,South West,LONGACRE ROAD,0,4,28,2008
10/17/2008,0,0,UU,,,,0,0,16,"Bristol, City of",,E06000023,946792,0,14,1,,E,0,3,360307,,167016,U,East of Kilbirnie Road,0,South West,LONGACRE ROAD,0,5,24,2008
10/17/2008,0,0,UU,,,,0,0,27,"Bristol, City of",,E06000023,946792,0,15,2,,E,0,3,360307,,167016,U,East of Kilbirnie Road,0,South West,LONGACRE ROAD,0,6,36,2008
10/17/2008,0,0,UU,,,,1,0,35,"Bristol, City of",,E06000023,946792,0,16,2,,E,0,3,360307,,167016,U,East of Kilbirnie Road,0,South West,LONGACRE ROAD,0,5,44,2008
10/17/2008,0,0,UU,,,,0,0,42,"Bristol, City of",,E06000023,946792,0,17,9,,E,0,3,360307,,167016,U,East of Kilbirnie Road,0,South West,LONGACRE ROAD,0,3,48,2008
10/17/2008,0,0,UU,,,,0,0,16,"Bristol, City of",,E06000023,946792,0,18,1,,E,0,2,360307,,167016,U,East of Kilbirnie Road,0,South West,LONGACRE ROAD,0,5,23,2008
10/17/2008,0,0,UU,,,,0,0,23,"Bristol, City of",,E06000023,946792,0,7,0,,W,0,1,360307,,167016,U,East of Kilbirnie Road,0,South West,LONGACRE ROAD,0,1,25,2008
10/17/2008,0,0,UU,,,,0,0,29,"Bristol, City of",,E06000023,946792,1,8,0,,W,1,2,360307,,167016,U,East of Kilbirnie Road,0,South West,LONGACRE ROAD,0,3,35,2008
10/17/2008,1,0,UU,,,,0,0,14,"Bristol, City of",,E06000023,946792,2,9,0,,W,1,1,360307,,167016,U,East of Kilbirnie Road,0,South West,LONGACRE ROAD,0,3,20,2008
