OBJECTID,DATE_,TIME,SEVERITY,SEVERITY_DESCRIPTION,ACCIDENT_TYPE,ACCIDENT_DESCRIPTION,VEHICLES,CASUALTIES,PEDESTRIAN,CYCLES,MCYCLES,CHILDREN,OAPS,X,Y,RENDER
7871,2023/04/18 23:00:00+00,2008,2,Serious,E,Elderly pedestrian,1,1,1,0,0,0,1,356096,174653,E
7872,2023/04/27 23:00:00+00,0640,3,Slight,J2,Turning Movement from minor road,2,2,0,0,1,0,1,362971,171200,MCYC
7873,2023/05/02 23:00:00+00,1318,2,Serious,E,Elderly pedestrian,1,1,1,0,0,0,1,359368,173316,E
7874,2023/05/05 23:00:00+00,2343,2,Serious,HO,Head On,2,1,0,0,0,0,0,359738,172306,CARS
7875,2023/04/14 23:00:00+00,1730,3,Slight,J,Turning movement – unidentified priority,2,1,0,1,0,0,0,359251,175949,CYC
7876,2023/05/12 23:00:00+00,1911,3,Slight,J,Turning movement – unidentified priority,2,2,0,0,1,0,0,359049,173753,MCYC
7877,2023/05/13 23:00:00+00,0025,3,Slight,J2,Turning Movement from minor road,2,1,0,0,0,0,0,359575,173588,CARS
7878,2023/04/17 23:00:00+00,0835,3,Slight,O,Overtaking,2,1,0,1,0,0,0,359611,172203,CYC
7879,2023/04/17 23:00:00+00,1916,3,Slight,J1,Turning Movement from major road,2,1,0,0,0,0,0,357554,174481,CARS
7880,2023/06/12 23:00:00+00,1435,1,Fatal,NONE,Other,4,7,0,0,0,1,3,358571,173281,CARS
7881,2023/04/21 23:00:00+00,1400,3,Slight,NONE,Other,2,1,0,0,1,0,0,359170,178338,MCYC
7882,2023/06/22 23:00:00+00,1400,3,Slight,J1,Turning Movement from major road,2,1,0,1,0,0,0,359435,176528,CYC
7883,2023/04/24 23:00:00+00,1550,3,Slight,NT,Nose to Tail,2,1,0,1,0,0,0,359082,172026,CYC
7884,2023/04/26 23:00:00+00,1610,3,Slight,NONE,Other,2,1,0,0,1,0,0,361752,176250,MCYC
7885,2023/04/26 23:00:00+00,1645,3,Slight,J2,Turning Movement from minor road,2,1,0,1,0,0,0,361965,175094,CYC
7886,2023/05/14 23:00:00+00,1643,2,Serious,J1,Turning Movement from major road,2,1,0,0,1,0,0,359219,176665,MCYC
7887,2023/05/17 23:00:00+00,1430,3,Slight,J2,Turning Movement from minor road,2,1,0,1,0,0,0,360474,174027,CYC
7888,2023/04/30 23:00:00+00,1445,3,Slight,J1,Turning Movement from major road,2,1,0,0,0,0,0,359384,169065,CARS
7889,2023/06/11 23:00:00+00,0535,2,Serious,E,Elderly pedestrian,1,1,1,0,0,0,1,357555,168422,E
7890,2023/04/30 23:00:00+00,1525,3,Slight,J,Turning movement – unidentified priority,2,1,0,1,0,0,1,359100,173866,CYC
7891,2023/05/01 23:00:00+00,1655,3,Slight,O,Overtaking,3,1,0,1,0,0,0,359492,176801,CYC
7892,2023/05/02 23:00:00+00,1645,3,Slight,C,Child pedestrian,1,1,1,0,0,1,0,359846,169141,C
7893,2023/05/21 23:00:00+00,1900,2,Serious,A,Adult pedestrian,3,2,2,0,0,0,0,362022,170446,A
