dCount,HGVR3,HGVA3,RCat,A Ref N,B Ref E,A Ref E,2WMV,HGVR4,CAR,ONS LA Name,B Ref N,ONS LACode,CP,HGV,Hour,PC,B-Junction,iDir,HGVR2,BUS,A-Junction,S Ref E,S Ref N,Road,CP Location,HGVA6,Region Name (GO),Road Name,HGVA5,LGV,AMV,Year
6/22/2005,8,5,PU,172220,359880,359621,80,6,1192,"Bristol, City of",171900,E06000023,46134,61,7,67,A37,N,28,51,A370,359810,172050,A4,,8,South West,,6,240,1624,2005
6/22/2005,5,1,PU,172220,359880,359621,94,6,1264,"Bristol, City of",171900,E06000023,46134,54,8,127,A37,N,29,56,A370,359810,172050,A4,,6,South West,,7,135,1603,2005
6/22/2005,5,2,PU,172220,359880,359621,46,6,897,"Bristol, City of",171900,E06000023,46134,60,9,51,A37,N,36,51,A370,359810,172050,A4,,4,South West,,7,165,1219,2005
6/22/2005,10,1,PU,172220,359880,359621,26,9,884,"Bristol, City of",171900,E06000023,46134,69,10,25,A37,N,36,42,A370,359810,172050,A4,,5,South West,,8,191,1212,2005
6/22/2005,8,3,PU,172220,359880,359621,21,6,836,"Bristol, City of",171900,E06000023,46134,72,11,10,A37,N,38,38,A370,359810,172050,A4,,10,South West,,7,174,1141,2005
6/22/2005,6,1,PU,172220,359880,359621,30,9,751,"Bristol, City of",171900,E06000023,46134,82,12,9,A37,N,50,52,A370,359810,172050,A4,,8,South West,,8,182,1097,2005
6/22/2005,10,3,PU,172220,359880,359621,24,5,831,"Bristol, City of",171900,E06000023,46134,62,13,18,A37,N,30,46,A370,359810,172050,A4,,8,South West,,6,143,1106,2005
6/22/2005,10,2,PU,172220,359880,359621,14,6,731,"Bristol, City of",171900,E06000023,46134,75,14,10,A37,N,42,49,A370,359810,172050,A4,,8,South West,,7,134,1003,2005
6/22/2005,2,1,PU,172220,359880,359621,25,5,762,"Bristol, City of",171900,E06000023,46134,50,15,20,A37,N,28,40,A370,359810,172050,A4,,7,South West,,7,122,999,2005
6/22/2005,2,1,PU,172220,359880,359621,28,3,951,"Bristol, City of",171900,E06000023,46134,31,16,21,A37,N,17,58,A370,359810,172050,A4,,6,South West,,2,166,1234,2005
6/22/2005,0,0,PU,172220,359880,359621,26,1,966,"Bristol, City of",171900,E06000023,46134,15,17,32,A37,N,6,44,A370,359810,172050,A4,,4,South West,,4,99,1150,2005
6/22/2005,2,1,PU,172220,359880,359621,28,0,823,"Bristol, City of",171900,E06000023,46134,23,18,24,A37,N,9,22,A370,359810,172050,A4,,6,South West,,5,61,957,2005
