dCount,HGVR3,HGVA3,RCat,A Ref N,B Ref E,A Ref E,2WMV,HGVR4,CAR,ONS LA Name,B Ref N,ONS LACode,CP,HGV,Hour,PC,B-Junction,iDir,HGVR2,BUS,S Ref E,A-Junction,S Ref N,Road,CP Location,HGVA6,Region Name (GO),Road Name,HGVA5,LGV,AMV,Year
3/22/2002,1,1,UU,,,,6,0,414,South Gloucestershire,,E06000025,952441,4,7,7,,N,1,6,361306,,182301,U,north of Cornfield Close,1,South West,Brook Way,0,38,468,2002
3/22/2002,0,0,UU,,,,11,0,610,South Gloucestershire,,E06000025,952441,2,8,6,,N,2,12,361306,,182301,U,north of Cornfield Close,0,South West,Brook Way,0,45,680,2002
3/22/2002,0,0,UU,,,,5,0,317,South Gloucestershire,,E06000025,952441,6,9,0,,N,6,6,361306,,182301,U,north of Cornfield Close,0,South West,Brook Way,0,29,363,2002
3/22/2002,1,0,UU,,,,5,0,304,South Gloucestershire,,E06000025,952441,8,10,1,,N,7,6,361306,,182301,U,north of Cornfield Close,0,South West,Brook Way,0,36,359,2002
3/22/2002,0,0,UU,,,,3,0,315,South Gloucestershire,,E06000025,952441,7,11,1,,N,7,6,361306,,182301,U,north of Cornfield Close,0,South West,Brook Way,0,32,363,2002
3/22/2002,3,0,UU,,,,5,0,441,South Gloucestershire,,E06000025,952441,7,12,2,,N,3,4,361306,,182301,U,north of Cornfield Close,0,South West,Brook Way,1,42,499,2002
3/22/2002,0,0,UU,,,,4,0,413,South Gloucestershire,,E06000025,952441,6,13,0,,N,6,5,361306,,182301,U,north of Cornfield Close,0,South West,Brook Way,0,33,461,2002
3/22/2002,0,0,UU,,,,11,0,214,South Gloucestershire,,E06000025,952441,4,14,0,,N,4,4,361306,,182301,U,north of Cornfield Close,0,South West,Brook Way,0,23,256,2002
3/22/2002,0,0,UU,,,,6,0,352,South Gloucestershire,,E06000025,952441,2,15,3,,N,2,8,361306,,182301,U,north of Cornfield Close,0,South West,Brook Way,0,18,386,2002
3/22/2002,1,0,UU,,,,5,0,269,South Gloucestershire,,E06000025,952441,2,16,5,,N,1,8,361306,,182301,U,north of Cornfield Close,0,South West,Brook Way,0,19,303,2002
3/22/2002,0,0,UU,,,,3,0,241,South Gloucestershire,,E06000025,952441,0,17,3,,N,0,12,361306,,182301,U,north of Cornfield Close,0,South West,Brook Way,0,19,275,2002
