dCount,HGVR3,HGVA3,RCat,2WMV,HGVR4,CAR,ONS LA Name,ONS LACode,CP,HGV,Hour,PC,iDir,HGVR2,BUS,S Ref E,S Ref N,Road,CP Location,HGVA6,Region Name (GO),Road Name,HGVA5,LGV,AMV,Year
11/30/2006,0,0,BU,3,0,104,South Gloucestershire,E06000025,990071,0,7,1,N,0,0,363680,190010,B4061,"north of Chapel Street, Thornbury",0,South West,High Street,0,18,125,2006
11/30/2006,0,0,BU,2,0,300,South Gloucestershire,E06000025,990071,3,8,1,N,3,5,363680,190010,B4061,"north of Chapel Street, Thornbury",0,South West,High Street,0,21,331,2006
11/30/2006,1,2,BU,2,0,202,South Gloucestershire,E06000025,990071,10,9,3,N,6,2,363680,190010,B4061,"north of Chapel Street, Thornbury",1,South West,High Street,0,21,237,2006
11/30/2006,0,0,BU,2,0,188,South Gloucestershire,E06000025,990071,1,10,1,N,1,1,363680,190010,B4061,"north of Chapel Street, Thornbury",0,South West,High Street,0,24,216,2006
11/30/2006,0,0,BU,2,0,202,South Gloucestershire,E06000025,990071,4,11,2,N,4,1,363680,190010,B4061,"north of Chapel Street, Thornbury",0,South West,High Street,0,27,236,2006
11/30/2006,0,0,BU,1,0,187,South Gloucestershire,E06000025,990071,3,12,0,N,3,2,363680,190010,B4061,"north of Chapel Street, Thornbury",0,South West,High Street,0,26,219,2006
11/30/2006,0,0,BU,2,0,248,South Gloucestershire,E06000025,990071,5,13,2,N,5,2,363680,190010,B4061,"north of Chapel Street, Thornbury",0,South West,High Street,0,25,282,2006
11/30/2006,2,0,BU,4,0,224,South Gloucestershire,E06000025,990071,3,14,3,N,1,5,363680,190010,B4061,"north of Chapel Street, Thornbury",0,South West,High Street,0,51,287,2006
11/30/2006,0,0,BU,3,0,308,South Gloucestershire,E06000025,990071,0,15,2,N,0,3,363680,190010,B4061,"north of Chapel Street, Thornbury",0,South West,High Street,0,33,347,2006
11/30/2006,0,0,BU,6,0,315,South Gloucestershire,E06000025,990071,0,16,1,N,0,1,363680,190010,B4061,"north of Chapel Street, Thornbury",0,South West,High Street,0,29,351,2006
11/30/2006,0,0,BU,5,0,340,South Gloucestershire,E06000025,990071,0,17,1,N,0,1,363680,190010,B4061,"north of Chapel Street, Thornbury",0,South West,High Street,0,25,371,2006
11/30/2006,0,0,BU,3,0,367,South Gloucestershire,E06000025,990071,0,18,4,N,0,0,363680,190010,B4061,"north of Chapel Street, Thornbury",0,South West,High Street,0,19,389,2006
11/30/2006,1,0,BU,6,0,221,South Gloucestershire,E06000025,990071,3,7,4,S,2,5,363680,190010,B4061,"north of Chapel Street, Thornbury",0,South West,High Street,0,29,264,2006
11/30/2006,0,0,BU,2,0,317,South Gloucestershire,E06000025,990071,2,8,3,S,2,7,363680,190010,B4061,"north of Chapel Street, Thornbury",0,South West,High Street,0,14,342,2006
11/30/2006,1,1,BU,1,0,234,South Gloucestershire,E06000025,990071,7,9,1,S,4,2,363680,190010,B4061,"north of Chapel Street, Thornbury",1,South West,High Street,0,25,269,2006
11/30/2006,2,0,BU,1,0,164,South Gloucestershire,E06000025,990071,4,10,0,S,1,3,363680,190010,B4061,"north of Chapel Street, Thornbury",1,South West,High Street,0,14,186,2006
11/30/2006,1,0,BU,0,0,215,South Gloucestershire,E06000025,990071,3,11,0,S,2,6,363680,190010,B4061,"north of Chapel Street, Thornbury",0,South West,High Street,0,15,239,2006
11/30/2006,0,0,BU,5,0,242,South Gloucestershire,E06000025,990071,5,12,1,S,5,9,363680,190010,B4061,"north of Chapel Street, Thornbury",0,South West,High Street,0,30,291,2006
11/30/2006,0,0,BU,4,0,241,South Gloucestershire,E06000025,990071,0,13,6,S,0,8,363680,190010,B4061,"north of Chapel Street, Thornbury",0,South West,High Street,0,24,277,2006
11/30/2006,1,0,BU,3,0,250,South Gloucestershire,E06000025,990071,3,14,1,S,2,5,363680,190010,B4061,"north of Chapel Street, Thornbury",0,South West,High Street,0,41,302,2006
11/30/2006,0,0,BU,0,0,322,South Gloucestershire,E06000025,990071,1,15,1,S,1,9,363680,190010,B4061,"north of Chapel Street, Thornbury",0,South West,High Street,0,34,366,2006
11/30/2006,0,0,BU,4,0,314,South Gloucestershire,E06000025,990071,2,16,1,S,2,5,363680,190010,B4061,"north of Chapel Street, Thornbury",0,South West,High Street,0,27,352,2006
11/30/2006,0,0,BU,6,0,318,South Gloucestershire,E06000025,990071,1,17,3,S,1,2,363680,190010,B4061,"north of Chapel Street, Thornbury",0,South West,High Street,0,23,350,2006
11/30/2006,0,0,BU,1,0,308,South Gloucestershire,E06000025,990071,0,18,5,S,0,4,363680,190010,B4061,"north of Chapel Street, Thornbury",0,South West,High Street,0,14,327,2006
