dCount,HGVR3,HGVA3,RCat,2WMV,HGVR4,CAR,ONS LA Name,ONS LACode,CP,HGV,Hour,PC,iDir,HGVR2,BUS,S Ref E,S Ref N,Road,CP Location,HGVA6,Region Name (GO),Road Name,HGVA5,LGV,AMV,Year
3/23/2015,0,0,UU,1,0,116,North Somerset,E06000024,947287,0,7,3,N,0,2,340398,170158,U,Clevedon,0,South West,Mill Cross,0,14,133,2015
3/23/2015,0,0,UU,2,0,146,North Somerset,E06000024,947287,1,8,0,N,1,0,340398,170158,U,Clevedon,0,South West,Mill Cross,0,14,163,2015
3/23/2015,0,0,UU,0,0,98,North Somerset,E06000024,947287,1,9,0,N,1,1,340398,170158,U,Clevedon,0,South West,Mill Cross,0,8,108,2015
3/23/2015,0,0,UU,1,0,62,North Somerset,E06000024,947287,0,10,1,N,0,1,340398,170158,U,Clevedon,0,South West,Mill Cross,0,8,72,2015
3/23/2015,0,0,UU,1,0,67,North Somerset,E06000024,947287,0,11,1,N,0,1,340398,170158,U,Clevedon,0,South West,Mill Cross,0,4,73,2015
3/23/2015,1,0,UU,0,0,89,North Somerset,E06000024,947287,2,12,0,N,1,1,340398,170158,U,Clevedon,0,South West,Mill Cross,0,12,104,2015
3/23/2015,0,0,UU,0,0,92,North Somerset,E06000024,947287,0,13,0,N,0,1,340398,170158,U,Clevedon,0,South West,Mill Cross,0,11,104,2015
3/23/2015,0,0,UU,0,0,63,North Somerset,E06000024,947287,2,14,0,N,2,1,340398,170158,U,Clevedon,0,South West,Mill Cross,0,8,74,2015
3/23/2015,0,0,UU,0,0,109,North Somerset,E06000024,947287,1,15,0,N,1,1,340398,170158,U,Clevedon,0,South West,Mill Cross,0,13,124,2015
3/23/2015,0,0,UU,1,0,85,North Somerset,E06000024,947287,0,16,1,N,0,1,340398,170158,U,Clevedon,0,South West,Mill Cross,0,8,95,2015
3/23/2015,0,0,UU,0,0,84,North Somerset,E06000024,947287,0,17,0,N,0,1,340398,170158,U,Clevedon,0,South West,Mill Cross,0,12,97,2015
3/23/2015,0,0,UU,0,0,66,North Somerset,E06000024,947287,0,18,2,N,0,1,340398,170158,U,Clevedon,0,South West,Mill Cross,0,14,81,2015
3/23/2015,0,0,UU,0,0,26,North Somerset,E06000024,947287,0,7,0,S,0,1,340398,170158,U,Clevedon,0,South West,Mill Cross,0,4,31,2015
3/23/2015,0,0,UU,0,0,64,North Somerset,E06000024,947287,1,8,0,S,1,1,340398,170158,U,Clevedon,0,South West,Mill Cross,0,11,77,2015
3/23/2015,0,0,UU,0,0,46,North Somerset,E06000024,947287,0,9,0,S,0,1,340398,170158,U,Clevedon,0,South West,Mill Cross,0,7,54,2015
3/23/2015,0,0,UU,1,0,51,North Somerset,E06000024,947287,1,10,0,S,1,1,340398,170158,U,Clevedon,0,South West,Mill Cross,0,8,62,2015
