HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,Road Name,CP Location,S Ref E,CP,Road,HGVA3
3,South West,E06000025,178550,145,South Gloucestershire,21,202,Junction 18 M4,TM,17,33,5/2/2008,29,375767,3271,17,3,E,LA Boundary,0,2874,381800,2008,71,178163,180030,,,378000,18498,M4,18
2,South West,E06000025,178550,165,South Gloucestershire,39,275,Junction 18 M4,TM,20,24,5/2/2008,50,375767,3986,17,3,W,LA Boundary,0,3502,381800,2008,62,178163,180030,,,378000,18498,M4,9
0,South West,E06000024,162710,0,North Somerset,0,12,,UU,2,16,5/2/2008,0,,158,17,0,E,,3,128,,2008,0,,,Kewstoke Toll Road,"East of Beach Road, Kewstoke",331430,930449,U,0
0,South West,E06000024,162710,0,North Somerset,0,17,,UU,1,40,5/2/2008,0,,143,17,0,W,,0,85,,2008,0,,,Kewstoke Toll Road,"East of Beach Road, Kewstoke",331430,930449,U,0
0,South West,E06000024,160933,0,North Somerset,0,8,,UU,0,0,5/2/2008,0,,54,17,0,E,,0,46,,2008,0,,,AISECOME WAY,"East of CA Site, W-s-M",334340,947268,U,0
0,South West,E06000024,160933,1,North Somerset,0,8,,UU,0,2,5/2/2008,1,,79,17,0,W,,0,68,,2008,0,,,AISECOME WAY,"East of CA Site, W-s-M",334340,947268,U,0
