HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,Road Name,CP Location,S Ref E,CP,Road,HGVA3
10,South West,E06000023,173930,111,"Bristol, City of",1,259,A4044,PU,23,20,5/11/2000,69,359394,2061,13,5,N,M32,0,1648,360000,2000,16,173502,174060,,,359900,57291,A4032,10
13,South West,E06000023,173930,84,"Bristol, City of",7,197,A4044,PU,25,15,5/11/2000,36,359394,1866,13,8,S,M32,0,1545,360000,2000,12,173502,174060,,,359900,57291,A4032,8
0,South West,E06000025,181368,0,South Gloucestershire,0,9,,CU,4,0,5/11/2000,0,,87,13,0,E,,1,74,,2000,0,,,Heron Way,"east of Scott Way, Yate",371737,966016,C,0
0,South West,E06000025,181368,2,South Gloucestershire,0,16,,CU,4,1,5/11/2000,1,,148,13,1,W,,0,125,,2000,0,,,Heron Way,"east of Scott Way, Yate",371737,966016,C,0
