HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,Road Name,CP Location,S Ref E,CP,Road,HGVA3
5,South West,E06000024,160000,38,North Somerset,2,94,A368,PR,5,4,6/6/2000,22,344800,561,16,6,N,B3130,1,420,353281,2000,2,159810,167124,,,345000,56409,A38,1
14,South West,E06000024,160000,48,North Somerset,1,80,A368,PR,5,8,6/6/2000,22,344800,712,16,4,S,B3130,2,571,353281,2000,5,159810,167124,,,345000,56409,A38,2
1,South West,E06000023,176670,4,"Bristol, City of",0,52,,BU,9,9,6/6/2000,3,,550,16,0,N,,13,476,,2000,0,,,Henleaze Road,South of Henleaze Park Drive,357800,990069,B4056,0
0,South West,E06000023,176670,8,"Bristol, City of",1,44,,BU,15,14,6/6/2000,6,,636,16,1,S,,8,555,,2000,0,,,Henleaze Road,South of Henleaze Park Drive,357800,990069,B4056,0
