HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,Road Name,CP Location,S Ref E,CP,Road,HGVA3
36,South West,E06000023,176100,125,"Bristol, City of",10,126,A4162,PU,9,4,5/17/2007,38,354570,728,10,8,N,A4176,3,464,356400,2007,28,176620,173275,,,355000,16124,A4,5
32,South West,E06000023,176100,101,"Bristol, City of",11,134,A4162,PU,12,7,5/17/2007,24,354570,818,10,10,S,A4176,1,564,356400,2007,18,176620,173275,,,355000,16124,A4,6
0,South West,E06000025,170260,12,South Gloucestershire,0,64,A4175,PU,3,0,5/17/2007,9,367246,355,10,1,E,A4175,1,276,366624,2007,1,170119,170354,,,367000,17089,A431,1
1,South West,E06000025,170260,12,South Gloucestershire,0,55,A4175,PU,4,2,5/17/2007,9,367246,367,10,1,W,A4175,2,294,366624,2007,1,170119,170354,,,367000,17089,A431,0
0,South West,E06000022,164870,3,Bath and North East Somerset,0,24,,CR,1,1,5/17/2007,2,,143,10,1,N,,0,114,,2007,0,,,WELLS ROAD,North of Chew Magna - please find a safe place to park,356770,930444,C,0
0,South West,E06000022,164870,4,Bath and North East Somerset,0,18,,CR,0,1,5/17/2007,4,,100,10,0,S,,1,77,,2007,0,,,WELLS ROAD,North of Chew Magna - please find a safe place to park,356770,930444,C,0
