HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,Road Name,CP Location,S Ref E,CP,Road,HGVA3
7,South West,E06000025,187250,139,South Gloucestershire,31,49,1,TM,3,3,5/18/2005,45,357334,527,13,7,N,M4 (21),0,333,360000,2005,41,189333,185800,,,359000,99167,M48,8
9,South West,E06000025,187250,119,South Gloucestershire,22,72,1,TM,2,5,5/18/2005,36,357334,521,13,8,S,M4 (21),0,323,360000,2005,37,189333,185800,,,359000,99167,M48,7
0,South West,E06000025,177735,1,South Gloucestershire,0,4,,UU,0,1,5/18/2005,1,,43,13,0,E,,0,37,,2005,0,,,Bromley Heath Avenue,west of Pilgrims Way,364840,990404,U,0
0,South West,E06000025,177735,5,South Gloucestershire,0,3,,UU,0,0,5/18/2005,5,,47,13,0,W,,0,39,,2005,0,,,Bromley Heath Avenue,west of Pilgrims Way,364840,990404,U,0
