HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,Road Name,CP Location,S Ref E,CP,Road,HGVA3
1,South West,E06000024,159000,13,North Somerset,1,86,Bleadon Hill,PU,2,6,9/21/2010,8,332510,690,13,2,N,A3033,5,583,332140,2010,1,158160,159230,,,332370,78062,A370,0
0,South West,E06000024,159000,3,North Somerset,0,53,Bleadon Hill,PU,2,9,9/21/2010,3,332510,635,13,0,S,A3033,5,568,332140,2010,0,158160,159230,,,332370,78062,A370,0
0,South West,E06000025,181556,0,South Gloucestershire,0,2,,UU,0,0,9/21/2010,0,,6,13,0,N,,1,4,,2010,0,,,HAWKINS CRESCENT,,361908,947537,U,0
0,South West,E06000025,181556,1,South Gloucestershire,0,0,,UU,0,0,9/21/2010,1,,11,13,0,S,,1,10,,2010,0,,,HAWKINS CRESCENT,,361908,947537,U,0
