HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,Road Name,CP Location,S Ref E,CP,Road,HGVA3
1,South West,E06000023,178790,12,"Bristol, City of",2,89,A4162,PU,8,6,3/22/2012,6,356940,807,13,2,N,LA Boundary,2,692,357050,2012,0,177550,179720,,,357330,73295,A4018,1
0,South West,E06000023,178790,12,"Bristol, City of",1,65,A4162,PU,7,7,3/22/2012,8,356940,755,13,3,S,LA Boundary,5,664,357050,2012,0,177550,179720,,,357330,73295,A4018,0
1,South West,E06000024,163585,14,North Somerset,1,36,,BU,0,1,3/22/2012,9,,313,13,1,N,,2,262,,2012,2,,,High Street,"South of Mill Lane, Congresbury",343914,947250,B3133,0
0,South West,E06000024,163585,15,North Somerset,1,43,,BU,0,4,3/22/2012,5,,329,13,1,S,,1,267,,2012,5,,,High Street,"South of Mill Lane, Congresbury",343914,947250,B3133,3
