HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,S Ref E,CP,Road,HGVA3
0,South West,E06000022,169000,3,Bath and North East Somerset,0,43,A4174 roundabout,PR,8,7,3/15/2013,2,364160,371,18,0,N,road from Stockwood Hill,7,310,364790,2013,0,169700,168950,364728,57290,A4175,1
0,South West,E06000022,169000,0,Bath and North East Somerset,0,52,A4174 roundabout,PR,8,5,3/15/2013,0,364160,579,18,0,S,road from Stockwood Hill,12,514,364790,2013,0,169700,168950,364728,57290,A4175,0
