HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,Road Name,CP Location,S Ref E,CP,Road,HGVA3
0,South West,E06000022,165290,2,Bath and North East Somerset,0,9,Saracen St,PU,15,8,7/1/2010,1,375070,226,17,1,N,A4 London Rd,25,192,375120,2010,0,165110,165630,,,375070,57774,A3039,0
0,South West,E06000022,165290,2,Bath and North East Somerset,0,6,Saracen St,PU,6,0,7/1/2010,1,375070,156,17,0,S,A4 London Rd,29,142,375120,2010,0,165110,165630,,,375070,57774,A3039,1
0,South West,E06000023,168927,1,"Bristol, City of",0,21,,UU,0,4,7/1/2010,1,,201,17,0,N,,3,175,,2010,0,,,Entrance to Hengrove Leisure Park,South of Hengrove Way,359230,946799,U,0
0,South West,E06000023,168927,1,"Bristol, City of",0,29,,UU,0,6,7/1/2010,0,,245,17,0,S,,2,209,,2010,1,,,Entrance to Hengrove Leisure Park,South of Hengrove Way,359230,946799,U,0
