HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,S Ref E,CP,Road,HGVA3
1,South West,E06000025,182900,284,South Gloucestershire,110,384,Junction 17 M5,TM,13,45,5/25/2010,67,357747,3848,17,15,N,Junction 16 M5,0,3122,360686,2010,53,181250,183284,360000,99619,M5,38
2,South West,E06000025,182900,256,South Gloucestershire,82,339,Junction 17 M5,TM,5,41,5/25/2010,62,357747,4326,17,16,S,Junction 16 M5,0,3685,360686,2010,81,181250,183284,360000,99619,M5,13
