HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,Road Name,CP Location,S Ref E,CP,Road,HGVA3
16,South West,E06000024,157500,301,North Somerset,68,482,LA Boundary,TM,25,33,6/27/2008,94,337520,4357,13,10,N,21,0,3516,337878,2008,87,155010,162596,,,338400,16021,M5,26
10,South West,E06000024,157500,231,North Somerset,59,323,LA Boundary,TM,25,20,6/27/2008,70,337520,4112,13,18,S,21,0,3513,337878,2008,61,155010,162596,,,338400,16021,M5,13
3,South West,E06000023,173458,25,"Bristol, City of",0,137,A38 St Johns Bridge,PU,80,16,6/27/2008,16,358730,1004,13,3,N,A4440,18,746,359050,2008,3,173270,173550,,,358992,74772,A38,0
2,South West,E06000023,173458,19,"Bristol, City of",0,123,A38 St Johns Bridge,PU,102,11,6/27/2008,11,358730,1040,13,1,S,A4440,24,785,359050,2008,1,173270,173550,,,358992,74772,A38,4
0,South West,E06000023,178600,11,"Bristol, City of",1,61,,UU,5,7,6/27/2008,7,,567,13,3,N,,8,483,,2008,0,,,PEN PARK ROAD,North of Royston Walk,358860,930429,U,0
2,South West,E06000023,178600,16,"Bristol, City of",2,80,,UU,5,7,6/27/2008,12,,654,13,0,S,,5,546,,2008,0,,,PEN PARK ROAD,North of Royston Walk,358860,930429,U,0
0,South West,E06000023,173916,0,"Bristol, City of",0,0,,UU,0,0,6/27/2008,0,,7,13,0,E,,0,7,,2008,0,,,BOURNEVILLE ROAD,West of Poets Close,361522,946788,U,0
0,South West,E06000023,173916,0,"Bristol, City of",0,1,,UU,0,0,6/27/2008,0,,8,13,0,W,,1,7,,2008,0,,,BOURNEVILLE ROAD,West of Poets Close,361522,946788,U,0
1,South West,E06000024,169122,11,North Somerset,1,39,,BR,0,0,6/27/2008,7,,397,13,1,N,,1,347,,2008,1,,,KENN ROAD,"North of Kenn Street, Kenn",341386,947246,B3133,0
3,South West,E06000024,169122,26,North Somerset,3,41,,BR,1,1,6/27/2008,14,,441,13,3,S,,0,372,,2008,3,,,KENN ROAD,"North of Kenn Street, Kenn",341386,947246,B3133,0
