HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,Road Name,CP Location,S Ref E,CP,Road,HGVA3
2,South West,E06000022,165500,57,Bath and North East Somerset,3,142,B3116,PR,12,8,4/26/2006,37,366519,847,14,3,N,A39,0,628,370150,2006,8,168269,165330,,,370000,26127,A4,4
4,South West,E06000022,165500,43,Bath and North East Somerset,3,116,B3116,PR,13,14,4/26/2006,22,366519,810,14,2,S,A39,0,624,370150,2006,8,168269,165330,,,370000,26127,A4,4
0,South West,E06000023,168000,2,"Bristol, City of",0,11,,CU,4,3,4/26/2006,2,,189,14,0,N,,0,169,,2006,0,,,Stockwood Road,,362000,963478,C,0
0,South West,E06000023,168000,6,"Bristol, City of",0,15,,CU,2,2,4/26/2006,6,,162,14,0,S,,0,137,,2006,0,,,Stockwood Road,,362000,963478,C,0
0,South West,E06000023,178000,0,"Bristol, City of",0,8,,UU,0,1,4/26/2006,0,,94,14,0,N,,4,85,,2006,0,,,Broadlands Drive,,354100,968103,U,0
0,South West,E06000023,178000,1,"Bristol, City of",0,12,,UU,0,1,4/26/2006,1,,90,14,0,S,,2,76,,2006,0,,,Broadlands Drive,,354100,968103,U,0
