HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,Road Name,CP Location,S Ref E,CP,Road,HGVA3
0,South West,E06000023,170000,15,"Bristol, City of",4,86,A4174,PU,10,8,3/31/2000,7,357950,799,17,2,N,A38,4,680,358757,2000,1,170530,168569,,,358100,37935,A4174,1
0,South West,E06000023,170000,26,"Bristol, City of",0,103,A4174,PU,15,15,3/31/2000,20,357950,917,17,1,S,A38,12,758,358757,2000,3,170530,168569,,,358100,37935,A4174,2
0,South West,E06000025,190000,0,South Gloucestershire,0,4,,CU,0,0,3/31/2000,0,,96,17,0,E,,3,92,,2000,0,,,Knapp Road,"west of The Paddocks, Thornbury",364430,966013,C,0
0,South West,E06000025,190000,0,South Gloucestershire,0,6,,CU,1,1,3/31/2000,0,,71,17,0,W,,2,63,,2000,0,,,Knapp Road,"west of The Paddocks, Thornbury",364430,966013,C,0
