HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,RCat,BUS,2WMV,dCount,HGVR2,AMV,Hour,HGVR3,iDir,PC,CAR,Year,HGVA5,Road Name,CP Location,S Ref E,CP,Road,HGVA3
0,South West,E06000023,167760,6,"Bristol, City of",0,73,UU,5,3,7/1/2009,6,453,15,0,E,5,366,2009,0,WHITCHURCH LANE,West oif Denleigh Close,360220,930422,U,0
0,South West,E06000023,167760,2,"Bristol, City of",0,85,UU,9,4,7/1/2009,1,468,15,1,W,4,368,2009,0,WHITCHURCH LANE,West oif Denleigh Close,360220,930422,U,0
