HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,S Ref E,CP,Road,HGVA3
1,South West,E06000025,178400,74,South Gloucestershire,14,177,A4174,PU,5,64,5/27/2010,26,364700,1786,17,2,E,A432,1,1466,366070,2010,26,178200,178610,365000,99050,A4174,5
0,South West,E06000025,178400,62,South Gloucestershire,24,122,A4174,PU,3,31,5/27/2010,12,364700,1271,17,1,W,A432,1,1053,366070,2010,23,178200,178610,365000,99050,A4174,2
