HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,S Ref E,CP,Road,HGVA3
10,South West,E06000024,168100,38,North Somerset,1,85,B3130 Barrow Lane,PR,4,1,7/4/2003,18,353281,578,11,3,N,LA Boundary,1,450,356110,2003,4,167124,169240,355000,56376,A38,2
8,South West,E06000024,168100,38,North Somerset,1,73,B3130 Barrow Lane,PR,6,4,7/4/2003,21,353281,586,11,3,S,LA Boundary,0,465,356110,2003,1,167124,169240,355000,56376,A38,4
