HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,Road Name,CP Location,S Ref E,CP,Road,HGVA3
2,South West,E06000023,178100,151,"Bristol, City of",71,293,Junction 18 M5,TM,12,23,5/16/2006,55,352952,2797,17,2,E,merge of feeder roads,0,2318,352500,2006,18,178032,178100,,,352600,26021,M5,3
14,South West,E06000023,178100,257,"Bristol, City of",100,169,Junction 18 M5,TM,8,14,5/16/2006,96,352952,1540,17,13,W,merge of feeder roads,0,1092,352500,2006,22,178032,178100,,,352600,26021,M5,12
2,South West,E06000023,176826,12,"Bristol, City of",0,93,A4162,PU,7,30,5/16/2006,6,352180,924,17,2,E,A403,12,782,354570,2006,1,177900,176620,,,354064,56122,A4,1
0,South West,E06000023,176826,49,"Bristol, City of",4,82,A4162,PU,7,13,5/16/2006,29,352180,1126,17,1,W,A403,15,975,354570,2006,10,177900,176620,,,354064,56122,A4,5
3,South West,E06000023,178500,89,"Bristol, City of",22,153,A403,TU,2,16,5/16/2006,16,351640,1144,17,3,E,M5,1,884,352060,2006,34,178510,178380,,,351770,70104,A4,11
16,South West,E06000023,178500,173,"Bristol, City of",28,76,A403,TU,1,13,5/16/2006,59,351640,628,17,11,W,M5,4,365,352060,2006,44,178510,178380,,,351770,70104,A4,15
0,South West,E06000023,178000,53,"Bristol, City of",6,50,M5,PU,1,10,5/16/2006,32,352060,387,17,2,N,M5,3,273,352180,2006,7,178380,177900,,,352140,70105,A4,6
0,South West,E06000023,178000,23,"Bristol, City of",4,70,M5,PU,0,20,5/16/2006,12,352060,628,17,1,S,M5,8,515,352180,2006,6,178380,177900,,,352140,70105,A4,0
0,South West,E06000022,164204,0,Bath and North East Somerset,0,17,,CU,8,2,5/16/2006,0,,211,17,0,E,,0,184,,2006,0,,,Cynthia Road,Positioned on Cynthia Road between Mayfield Road and Herbert Road,373491,966018,C,0
0,South West,E06000022,164204,9,Bath and North East Somerset,0,43,,CU,9,3,5/16/2006,9,,414,17,0,W,,7,350,,2006,0,,,Cynthia Road,Positioned on Cynthia Road between Mayfield Road and Herbert Road,373491,966018,C,0
