HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,Road Name,CP Location,S Ref E,CP,Road,HGVA3
18,South West,E06000024,157500,336,North Somerset,96,327,LA Boundary,TM,1,4,10/7/2014,98,337520,2013,13,24,N,,0,1345,337878,2014,81,155010,162596,,,338400,16021,M5,19
9,South West,E06000024,157500,251,North Somerset,86,284,LA Boundary,TM,7,2,10/7/2014,69,337520,1818,13,15,S,,0,1274,337878,2014,58,155010,162596,,,338400,16021,M5,14
3,South West,E06000022,165000,34,Bath and North East Somerset,2,57,A4(T),PR,4,5,10/7/2014,18,371367,380,13,5,E,Connection Rd,3,280,372440,2014,2,165575,164810,,,372200,16122,A36,4
6,South West,E06000022,165000,34,Bath and North East Somerset,3,70,A4(T),PR,3,8,10/7/2014,18,371367,498,13,4,W,Connection Rd,4,383,372440,2014,3,165575,164810,,,372200,16122,A36,0
18,South West,E06000025,176100,76,South Gloucestershire,6,171,Station Road Link,PR,5,7,10/7/2014,31,366580,1161,13,7,N,B4465,0,902,367490,2014,12,174740,176520,,,367330,77050,A4174,2
19,South West,E06000025,176100,82,South Gloucestershire,10,201,Station Road Link,PR,1,12,10/7/2014,29,366580,1243,13,14,S,B4465,0,947,367490,2014,5,174740,176520,,,367330,77050,A4174,5
0,South West,E06000022,169664,1,Bath and North East Somerset,0,40,,CR,1,0,10/7/2014,1,,315,13,0,N,,0,273,,2014,0,,,LANSDOWN ROAD,"Lansdown, between Hamilton road and college road junctions",372226,946664,C,0
0,South West,E06000022,169664,2,Bath and North East Somerset,0,58,,CR,0,1,10/7/2014,1,,336,13,1,S,,0,275,,2014,0,,,LANSDOWN ROAD,"Lansdown, between Hamilton road and college road junctions",372226,946664,C,0
0,South West,E06000023,170896,0,"Bristol, City of",0,4,,UU,0,0,10/7/2014,0,,37,13,0,N,,0,33,,2014,0,,,GORE'S MARSH ROAD,South of Deep Combe Road,357338,946770,U,0
0,South West,E06000023,170896,0,"Bristol, City of",0,7,,UU,0,0,10/7/2014,0,,35,13,0,S,,0,28,,2014,0,,,GORE'S MARSH ROAD,South of Deep Combe Road,357338,946770,U,0
