HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,Road Name,CP Location,S Ref E,CP,Road,HGVA3
23,South West,E06000025,188200,329,South Gloucestershire,68,316,M4 (15),TM,23,5,6/10/2004,112,361812,2613,8,16,N,14,0,1940,368807,2004,89,183775,193200,,,366000,26020,M5,21
9,South West,E06000025,188200,381,South Gloucestershire,114,332,M4 (15),TM,5,20,6/10/2004,123,361812,3589,8,10,S,14,0,2851,368807,2004,99,183775,193200,,,366000,26020,M5,26
1,South West,E06000022,167350,2,Bath and North East Somerset,0,7,,UU,1,1,6/10/2004,1,,48,8,0,E,,2,37,,2004,0,,,MANOR ROAD,"Keynsham, just off the B3116",365980,930446,U,0
1,South West,E06000022,167350,2,Bath and North East Somerset,0,8,,UU,0,1,6/10/2004,1,,72,8,0,W,,0,61,,2004,0,,,MANOR ROAD,"Keynsham, just off the B3116",365980,930446,U,0
