HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,Road Name,CP Location,S Ref E,CP,Road,HGVA3
16,South West,E06000024,157500,337,North Somerset,121,250,LA Boundary,TM,13,4,10/7/2014,83,337520,2137,11,13,N,,0,1533,337878,2014,87,155010,162596,,,338400,16021,M5,17
8,South West,E06000024,157500,234,North Somerset,67,237,LA Boundary,TM,2,1,10/7/2014,70,337520,1575,11,12,S,,0,1101,337878,2014,68,155010,162596,,,338400,16021,M5,9
5,South West,E06000022,165000,40,Bath and North East Somerset,3,86,A4(T),PR,3,5,10/7/2014,19,371367,382,11,8,E,Connection Rd,3,248,372440,2014,4,165575,164810,,,372200,16122,A36,1
5,South West,E06000022,165000,42,Bath and North East Somerset,1,91,A4(T),PR,7,3,10/7/2014,27,371367,443,11,6,W,Connection Rd,0,300,372440,2014,2,165575,164810,,,372200,16122,A36,1
14,South West,E06000025,176100,93,South Gloucestershire,7,202,Station Road Link,PR,3,5,10/7/2014,43,366580,1159,11,10,N,B4465,0,856,367490,2014,14,174740,176520,,,367330,77050,A4174,5
10,South West,E06000025,176100,71,South Gloucestershire,6,187,Station Road Link,PR,1,4,10/7/2014,38,366580,1089,11,10,S,B4465,0,826,367490,2014,5,174740,176520,,,367330,77050,A4174,2
0,South West,E06000022,169664,5,Bath and North East Somerset,0,54,,CR,0,0,10/7/2014,3,,276,11,2,N,,0,217,,2014,0,,,LANSDOWN ROAD,"Lansdown, between Hamilton road and college road junctions",372226,946664,C,0
0,South West,E06000022,169664,6,Bath and North East Somerset,0,67,,CR,0,2,10/7/2014,4,,380,11,2,S,,0,305,,2014,0,,,LANSDOWN ROAD,"Lansdown, between Hamilton road and college road junctions",372226,946664,C,0
0,South West,E06000023,170896,0,"Bristol, City of",0,6,,UU,0,0,10/7/2014,0,,47,11,0,N,,0,41,,2014,0,,,GORE'S MARSH ROAD,South of Deep Combe Road,357338,946770,U,0
0,South West,E06000023,170896,1,"Bristol, City of",0,10,,UU,0,0,10/7/2014,1,,30,11,0,S,,0,19,,2014,0,,,GORE'S MARSH ROAD,South of Deep Combe Road,357338,946770,U,0
