HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,Road Name,CP Location,S Ref E,CP,Road,HGVA3
3,South West,E06000024,157500,163,North Somerset,51,318,LA Boundary,TM,22,20,6/22/2007,50,337520,3302,17,4,N,21,0,2779,337878,2007,50,155010,162596,,,338400,16021,M5,5
2,South West,E06000024,157500,149,North Somerset,58,318,LA Boundary,TM,20,11,6/22/2007,28,337520,4216,17,5,S,21,0,3718,337878,2007,45,155010,162596,,,338400,16021,M5,11
12,South West,E06000025,181500,288,South Gloucestershire,66,464,Junction 20/15 M4/M5,TM,14,65,6/22/2007,72,361812,4361,17,14,N,Junction 19 M4/M32,0,3530,364185,2007,106,183775,179458,,,363100,56015,M4,18
6,South West,E06000025,181500,262,South Gloucestershire,56,419,Junction 20/15 M4/M5,TM,36,38,6/22/2007,72,361812,4486,17,7,S,Junction 19 M4/M32,0,3731,364185,2007,97,183775,179458,,,363100,56015,M4,24
0,South West,E06000023,172990,0,"Bristol, City of",0,9,,UU,1,1,6/22/2007,0,,137,17,0,N,,4,126,,2007,0,,,SION HILL,North of Caledonia Place,356640,930431,U,0
0,South West,E06000023,172990,1,"Bristol, City of",0,6,,UU,1,0,6/22/2007,0,,91,17,0,S,,1,83,,2007,0,,,SION HILL,North of Caledonia Place,356640,930431,U,1
