HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,RCat,BUS,2WMV,dCount,HGVR2,AMV,Hour,HGVR3,iDir,PC,CAR,Year,HGVA5,Road Name,CP Location,S Ref E,CP,Road,HGVA3
0,South West,E06000023,174260,1,"Bristol, City of",0,21,UU,0,1,7/7/2005,1,134,7,0,N,3,111,2005,0,HAMPTON ROAD,North of Waverley Road,357950,930430,U,0
0,South West,E06000023,174260,1,"Bristol, City of",0,11,UU,0,4,7/7/2005,0,278,7,1,S,18,262,2005,0,HAMPTON ROAD,North of Waverley Road,357950,930430,U,0
0,South West,E06000025,181980,2,South Gloucestershire,1,80,UU,8,9,7/7/2005,0,435,7,0,N,28,336,2005,1,WESTERLEIGH ROAD,"south of Stanshawes Drive, Yate",370620,930460,C,0
0,South West,E06000025,181980,5,South Gloucestershire,0,40,UU,7,0,7/7/2005,3,262,7,2,S,3,210,2005,0,WESTERLEIGH ROAD,"south of Stanshawes Drive, Yate",370620,930460,C,0
