HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,RCat,BUS,2WMV,dCount,HGVR2,AMV,Hour,HGVR3,iDir,PC,CAR,Year,HGVA5,Road Name,CP Location,S Ref E,CP,Road,HGVA3
0,South West,E06000022,164050,0,Bath and North East Somerset,0,0,UU,1,0,9/6/2013,0,5,16,0,E,0,4,2013,0,HAYCOMBE DRIVE,"Whiteway, between North Way rbt and Kelston view jcn",372098,946676,U,0
0,South West,E06000022,164050,0,Bath and North East Somerset,0,1,UU,0,0,9/6/2013,0,10,16,0,W,0,9,2013,0,HAYCOMBE DRIVE,"Whiteway, between North Way rbt and Kelston view jcn",372098,946676,U,0
0,South West,E06000023,170240,11,"Bristol, City of",0,97,CU,0,7,9/6/2013,10,479,16,1,N,2,364,2013,0,EMERY ROAD,North of Bath Road,362674,946763,C,0
0,South West,E06000023,170240,4,"Bristol, City of",1,81,CU,0,18,9/6/2013,3,594,16,0,S,44,491,2013,0,EMERY ROAD,North of Bath Road,362674,946763,C,0
