HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,Road Name,CP Location,S Ref E,CP,Road,HGVA3
1,South West,E06000023,173180,5,"Bristol, City of",0,117,A4044,PU,42,28,6/20/2005,4,359557,903,16,0,E,A420 split,26,711,359806,2005,0,173140,173224,,,359700,74495,A420,0
0,South West,E06000023,173180,6,"Bristol, City of",0,106,A4044,PU,50,21,6/20/2005,6,359557,952,16,0,W,A420 split,23,769,359806,2005,0,173140,173224,,,359700,74495,A420,0
0,South West,E06000023,174140,3,"Bristol, City of",0,155,,BU,11,17,6/20/2005,2,,884,16,0,E,,10,698,,2005,1,,,Whitehall Road,West of Whitehall Avenue,362200,990068,B4465,0
1,South West,E06000023,174140,8,"Bristol, City of",0,93,,BU,12,12,6/20/2005,7,,593,16,0,W,,3,468,,2005,0,,,Whitehall Road,West of Whitehall Avenue,362200,990068,B4465,0
