HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,Road Name,CP Location,S Ref E,CP,Road,HGVA3
1,South West,E06000025,181000,18,South Gloucestershire,0,80,B4057,PU,6,43,5/10/2006,13,360465,1338,18,1,N,M5/Aztec West,21,1191,360686,2006,1,180663,183284,,,360440,36408,A38,2
0,South West,E06000025,181000,22,South Gloucestershire,0,121,B4057,PU,15,18,5/10/2006,20,360465,1183,18,0,S,M5/Aztec West,20,1007,360686,2006,1,180663,183284,,,360440,36408,A38,1
0,South West,E06000024,163780,0,North Somerset,0,5,,UR,0,0,5/10/2006,0,,40,18,0,E,,0,35,,2006,0,,,Lower Norton Lane,"North of Kewside, Kewstoke",333810,952398,U,0
0,South West,E06000024,163780,0,North Somerset,0,4,,UR,0,1,5/10/2006,0,,75,18,0,W,,0,70,,2006,0,,,Lower Norton Lane,"North of Kewside, Kewstoke",333810,952398,U,0
