HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,Road Name,CP Location,S Ref E,CP,Road,HGVA3
3,South West,E06000025,185000,33,South Gloucestershire,3,45,A432,PR,1,0,4/4/2008,12,376289,341,11,9,N,A433,1,262,379206,2008,5,181174,186365,,,378540,36510,A46,1
3,South West,E06000025,185000,26,South Gloucestershire,0,48,A432,PR,1,2,4/4/2008,14,376289,305,11,6,S,A433,0,228,379206,2008,3,181174,186365,,,378540,36510,A46,0
0,South West,E06000024,160043,14,North Somerset,0,64,A370 Windwhistle Road,PU,4,4,4/4/2008,12,332140,507,11,2,N,A370,1,421,332680,2008,0,159230,160900,,,332446,37660,A3033,0
0,South West,E06000024,160043,10,North Somerset,0,58,A370 Windwhistle Road,PU,4,1,4/4/2008,9,332140,506,11,1,S,A370,2,433,332680,2008,0,159230,160900,,,332446,37660,A3033,0
0,South West,E06000023,173337,2,"Bristol, City of",0,43,,UU,1,8,4/4/2008,2,,206,11,0,E,,1,152,,2008,0,,,BEAUFORT ROAD,East of Headwick Street,362055,946802,U,0
0,South West,E06000023,173337,2,"Bristol, City of",0,32,,UU,0,7,4/4/2008,2,,156,11,0,W,,0,115,,2008,0,,,BEAUFORT ROAD,East of Headwick Street,362055,946802,U,0
0,South West,E06000024,157807,0,North Somerset,0,0,,UU,0,0,4/4/2008,0,,3,11,0,N,,0,3,,2008,0,,,PURN LANE,"South of Purn Close, Bleadon Hill",333031,947276,U,0
0,South West,E06000024,157807,0,North Somerset,0,0,,UU,0,0,4/4/2008,0,,5,11,0,S,,0,5,,2008,0,,,PURN LANE,"South of Purn Close, Bleadon Hill",333031,947276,U,0
0,South West,E06000024,160155,0,North Somerset,0,1,,UU,0,0,4/4/2008,0,,8,11,0,E,,4,7,,2008,0,,,KENN CLOSE,"East of Brue Close, W-s-M",333104,947281,U,0
0,South West,E06000024,160155,0,North Somerset,0,2,,UU,0,0,4/4/2008,0,,11,11,0,W,,2,9,,2008,0,,,KENN CLOSE,"East of Brue Close, W-s-M",333104,947281,U,0
0,South West,E06000024,162162,0,North Somerset,0,3,,UU,0,0,4/4/2008,0,,13,11,0,N,,0,10,,2008,0,,,Snowdon Vale,"South of Pennine Gardens, W-s-M",333237,947284,U,0
0,South West,E06000024,162162,0,North Somerset,0,5,,UU,0,0,4/4/2008,0,,17,11,0,S,,0,12,,2008,0,,,Snowdon Vale,"South of Pennine Gardens, W-s-M",333237,947284,U,0
