HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,RCat,BUS,2WMV,dCount,HGVR2,AMV,Hour,HGVR3,iDir,PC,CAR,Year,HGVA5,Road Name,CP Location,S Ref E,CP,Road,HGVA3
2,South West,E06000024,174800,13,North Somerset,1,21,BR,0,1,10/30/2000,8,197,11,2,E,0,162,2000,0,Cleveland Road,"East of Valley Road, North Weston",346000,990021,B3124,0
0,South West,E06000024,174800,8,North Somerset,0,30,BR,2,1,10/30/2000,5,192,11,2,W,0,151,2000,1,Cleveland Road,"East of Valley Road, North Weston",346000,990021,B3124,0
