HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,Road Name,CP Location,S Ref E,CP,Road,HGVA3
31,South West,E06000023,178100,296,"Bristol, City of",60,195,Junction 18 M5,TM,5,17,5/16/2006,115,352952,1362,13,30,E,merge of feeder roads,0,849,352500,2006,53,178032,178100,,,352600,26021,M5,7
41,South West,E06000023,178100,417,"Bristol, City of",111,217,Junction 18 M5,TM,8,8,5/16/2006,172,352952,1430,13,34,W,merge of feeder roads,0,780,352500,2006,40,178032,178100,,,352600,26021,M5,19
11,South West,E06000023,176826,100,"Bristol, City of",11,83,A4162,PU,8,4,5/16/2006,50,352180,654,13,6,E,A403,1,459,354570,2006,13,177900,176620,,,354064,56122,A4,9
13,South West,E06000023,176826,101,"Bristol, City of",13,94,A4162,PU,8,9,5/16/2006,45,352180,665,13,15,W,A403,2,453,354570,2006,14,177900,176620,,,354064,56122,A4,1
28,South West,E06000023,178500,211,"Bristol, City of",38,128,A403,TU,2,9,5/16/2006,69,351640,735,13,14,E,M5,3,385,352060,2006,44,178510,178380,,,351770,70104,A4,18
36,South West,E06000023,178500,325,"Bristol, City of",46,120,A403,TU,0,4,5/16/2006,119,351640,879,13,26,W,M5,1,430,352060,2006,79,178510,178380,,,351770,70104,A4,19
11,South West,E06000023,178000,74,"Bristol, City of",19,86,M5,PU,1,2,5/16/2006,33,352060,495,13,10,N,M5,4,332,352180,2006,1,178380,177900,,,352140,70105,A4,0
9,South West,E06000023,178000,78,"Bristol, City of",8,91,M5,PU,0,4,5/16/2006,45,352060,491,13,5,S,M5,3,318,352180,2006,7,178380,177900,,,352140,70105,A4,4
0,South West,E06000022,164204,1,Bath and North East Somerset,0,14,,CU,9,5,5/16/2006,1,,204,13,0,E,,0,175,,2006,0,,,Cynthia Road,Positioned on Cynthia Road between Mayfield Road and Herbert Road,373491,966018,C,0
0,South West,E06000022,164204,3,Bath and North East Somerset,1,29,,CU,8,1,5/16/2006,2,,158,13,0,W,,1,117,,2006,0,,,Cynthia Road,Positioned on Cynthia Road between Mayfield Road and Herbert Road,373491,966018,C,0
