HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,Road Name,CP Location,S Ref E,CP,Road,HGVA3
3,South West,E06000023,172000,33,"Bristol, City of",2,84,A3029/B3120,PU,14,6,5/14/2008,16,357230,668,15,8,N,A38 roundabout,6,531,359017,2008,1,171890,172014,,,357400,16961,A370,3
6,South West,E06000023,172000,33,"Bristol, City of",3,88,A3029/B3120,PU,10,7,5/14/2008,17,357230,657,15,2,S,A38 roundabout,5,519,359017,2008,2,171890,172014,,,357400,16961,A370,3
0,South West,E06000022,165443,4,Bath and North East Somerset,0,20,Bathwick St,PU,6,7,5/14/2008,3,375640,284,15,1,E,Warminster Rd,11,247,375948,2008,0,165350,165429,,,375783,28320,A36,0
0,South West,E06000022,165443,2,Bath and North East Somerset,0,26,Bathwick St,PU,4,3,5/14/2008,1,375640,198,15,0,W,Warminster Rd,9,163,375948,2008,1,165350,165429,,,375783,28320,A36,0
0,South West,E06000024,171190,5,North Somerset,1,9,,BR,0,0,5/14/2008,1,,93,15,1,N,,0,79,,2008,0,,,Weston Road,"South of B3128 Clevedon Road, Failand",352050,940260,B3129,2
0,South West,E06000024,171190,4,North Somerset,0,11,,BR,1,0,5/14/2008,1,,100,15,0,S,,0,84,,2008,0,,,Weston Road,"South of B3128 Clevedon Road, Failand",352050,940260,B3129,3
0,South West,E06000023,176698,0,"Bristol, City of",0,3,,UU,0,0,5/14/2008,0,,58,15,0,E,,0,55,,2008,0,,,HENLEAZE PARK DRIVE,West of Oakwood Road,357853,946816,U,0
0,South West,E06000023,176698,0,"Bristol, City of",0,4,,UU,1,0,5/14/2008,0,,49,15,0,W,,2,44,,2008,0,,,HENLEAZE PARK DRIVE,West of Oakwood Road,357853,946816,U,0
0,South West,E06000025,180024,0,South Gloucestershire,0,5,,CU,0,1,5/14/2008,0,,9,15,0,N,,1,3,,2008,0,,,FISHPOOL HILL,"north of Charlton Lane, Brentry",358118,947510,C,0
0,South West,E06000025,180024,0,South Gloucestershire,0,6,,CU,0,0,5/14/2008,0,,10,15,0,S,,1,4,,2008,0,,,FISHPOOL HILL,"north of Charlton Lane, Brentry",358118,947510,C,0
