HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,S Ref E,CP,Road,HGVA3
2,South West,E06000025,186500,246,South Gloucestershire,41,152,22,TM,13,3,4/11/2005,64,354450,1294,15,10,E,21,0,880,360000,2005,116,185800,185800,358000,99168,M4,13
7,South West,E06000025,186500,187,South Gloucestershire,14,206,22,TM,15,11,4/11/2005,60,354450,1435,15,4,W,21,0,1016,360000,2005,76,185800,185800,358000,99168,M4,26
