HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,Road Name,CP Location,S Ref E,CP,Road,HGVA3
13,South West,E06000024,157500,312,North Somerset,56,331,LA Boundary,TM,47,27,6/27/2008,97,337520,4310,11,16,N,21,0,3593,337878,2008,108,155010,162596,,,338400,16021,M5,22
10,South West,E06000024,157500,251,North Somerset,79,273,LA Boundary,TM,18,14,6/27/2008,50,337520,3761,11,6,S,21,0,3205,337878,2008,85,155010,162596,,,338400,16021,M5,21
2,South West,E06000023,173458,29,"Bristol, City of",0,138,A38 St Johns Bridge,PU,80,5,6/27/2008,25,358730,929,11,0,N,A4440,3,677,359050,2008,1,173270,173550,,,358992,74772,A38,1
2,South West,E06000023,173458,20,"Bristol, City of",0,128,A38 St Johns Bridge,PU,101,3,6/27/2008,12,358730,1043,11,4,S,A4440,27,791,359050,2008,1,173270,173550,,,358992,74772,A38,1
0,South West,E06000023,178600,16,"Bristol, City of",1,69,,UU,4,4,6/27/2008,11,,605,11,3,N,,4,512,,2008,0,,,PEN PARK ROAD,North of Royston Walk,358860,930429,U,1
1,South West,E06000023,178600,13,"Bristol, City of",1,80,,UU,8,6,6/27/2008,10,,571,11,1,S,,1,464,,2008,0,,,PEN PARK ROAD,North of Royston Walk,358860,930429,U,0
0,South West,E06000023,173916,1,"Bristol, City of",0,0,,UU,0,0,6/27/2008,1,,4,11,0,E,,1,3,,2008,0,,,BOURNEVILLE ROAD,West of Poets Close,361522,946788,U,0
0,South West,E06000023,173916,0,"Bristol, City of",0,0,,UU,0,0,6/27/2008,0,,6,11,0,W,,2,6,,2008,0,,,BOURNEVILLE ROAD,West of Poets Close,361522,946788,U,0
0,South West,E06000024,169122,15,North Somerset,2,33,,BR,2,25,6/27/2008,10,,291,11,3,N,,0,216,,2008,0,,,KENN ROAD,"North of Kenn Street, Kenn",341386,947246,B3133,0
1,South West,E06000024,169122,13,North Somerset,4,30,,BR,1,1,6/27/2008,7,,238,11,1,S,,3,193,,2008,0,,,KENN ROAD,"North of Kenn Street, Kenn",341386,947246,B3133,0
