HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,Road Name,CP Location,S Ref E,CP,Road,HGVA3
0,South West,E06000023,173400,12,"Bristol, City of",0,85,Trinity Rd,PU,23,19,10/4/2013,11,360045,586,15,1,E,Easton Way roundabout,7,447,360440,2013,0,173344,173463,,,360200,8391,A420,0
0,South West,E06000023,173400,5,"Bristol, City of",0,136,Trinity Rd,PU,23,13,10/4/2013,5,360045,748,15,0,W,Easton Way roundabout,21,571,360440,2013,0,173344,173463,,,360200,8391,A420,0
0,South West,E06000025,184000,24,South Gloucestershire,5,102,M5,PU,15,17,10/4/2013,12,360686,1057,15,2,N,Old Aust Rd,11,899,361060,2013,3,183284,184450,,,360650,77980,A38,2
1,South West,E06000025,184000,20,South Gloucestershire,1,63,M5,PU,5,9,10/4/2013,11,360686,597,15,2,S,Old Aust Rd,1,500,361060,2013,5,183284,184450,,,360650,77980,A38,0
0,South West,E06000024,169948,0,North Somerset,0,2,,UU,0,0,10/4/2013,0,,32,15,0,N,,0,30,,2013,0,,,WEDMOOR ROAD,Nailsea,347454,947275,U,0
0,South West,E06000024,169948,0,North Somerset,0,6,,UU,0,0,10/4/2013,0,,24,15,0,S,,0,18,,2013,0,,,WEDMOOR ROAD,Nailsea,347454,947275,U,0
