HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,S Ref E,CP,Road,HGVA3
0,South West,E06000024,175670,5,North Somerset,0,35,Portishead  B3124,PR,4,3,6/7/2011,4,347660,525,18,0,E,M5 J 19,3,478,350670,2011,0,175680,175620,350000,57052,A369,1
0,South West,E06000024,175670,4,North Somerset,2,56,Portishead  B3124,PR,4,10,6/7/2011,1,347660,1230,18,0,W,M5 J 19,2,1156,350670,2011,0,175680,175620,350000,57052,A369,1
2,South West,E06000023,178320,173,"Bristol, City of",60,186,18,TM,9,14,6/7/2011,33,352952,2598,18,0,N,18A,0,2216,353755,2011,55,178032,178695,353300,99620,M5,23
3,South West,E06000023,178320,113,"Bristol, City of",60,231,18,TM,9,16,6/7/2011,29,352952,3032,18,8,S,18A,0,2663,353755,2011,13,178032,178695,353300,99620,M5,0
