HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,Road Name,CP Location,S Ref E,CP,Road,HGVA3
1,South West,E06000025,181000,27,South Gloucestershire,2,145,B4057,PU,14,56,5/3/2001,19,360465,2126,16,5,N,M5/Aztec West,11,1884,360686,2001,0,180663,183284,,,360440,36408,A38,0
5,South West,E06000025,181000,45,South Gloucestershire,1,121,B4057,PU,20,24,5/3/2001,31,360465,1254,16,3,S,M5/Aztec West,11,1044,360686,2001,1,180663,183284,,,360440,36408,A38,4
1,South West,E06000025,172000,19,South Gloucestershire,1,104,A4174,PU,16,22,5/3/2001,16,365520,1023,16,0,E,LA Boundary,10,862,363920,2001,0,171490,172570,,,364850,37184,A431,1
1,South West,E06000025,172000,18,South Gloucestershire,0,99,A4174,PU,13,8,5/3/2001,14,365520,820,16,0,W,LA Boundary,5,682,363920,2001,2,171490,172570,,,364850,37184,A431,1
0,South West,E06000023,173922,11,"Bristol, City of",0,73,A4017,PU,17,15,5/3/2001,8,364349,459,16,0,E,LA Boundary,9,343,364520,2001,1,173934,173910,,,364432,58069,A420,2
0,South West,E06000023,173922,13,"Bristol, City of",1,101,A4017,PU,22,17,5/3/2001,11,364349,694,16,0,W,LA Boundary,18,541,364520,2001,1,173934,173910,,,364432,58069,A420,0
0,South West,E06000025,182100,0,South Gloucestershire,0,19,,BR,2,0,5/3/2001,0,,144,16,0,E,,0,123,,2001,0,,,Over Lane,,358200,964289,B4055,0
0,South West,E06000025,182100,13,South Gloucestershire,3,21,,BR,2,0,5/3/2001,8,,181,16,0,W,,0,145,,2001,2,,,Over Lane,,358200,964289,B4055,0
