HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,S Ref E,CP,Road,HGVA3
2,South West,E06000023,170955,23,"Bristol, City of",5,130,A38,PU,0,17,6/19/2009,14,357680,1122,17,2,N,A3029 Ashton Road/Winterstoke Underpass,9,952,356680,2009,0,170620,171490,357000,16959,A3029,0
1,South West,E06000023,170955,9,"Bristol, City of",4,133,A38,PU,1,15,6/19/2009,3,357680,1272,17,1,S,A3029 Ashton Road/Winterstoke Underpass,3,1114,356680,2009,0,170620,171490,357000,16959,A3029,0
