HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,RCat,BUS,2WMV,dCount,HGVR2,AMV,Hour,HGVR3,iDir,PC,CAR,Year,HGVA5,Road Name,CP Location,S Ref E,CP,Road,HGVA3
0,South West,E06000023,174360,2,"Bristol, City of",0,35,UU,0,2,4/21/2008,2,333,18,0,N,3,294,2008,0,CHARLTON ROAD,North of Ingleside Road,363890,930423,U,0
0,South West,E06000023,174360,1,"Bristol, City of",0,37,UU,0,2,4/21/2008,1,386,18,0,S,9,346,2008,0,CHARLTON ROAD,North of Ingleside Road,363890,930423,U,0
0,South West,E06000023,175137,2,"Bristol, City of",0,1,UU,1,1,4/21/2008,2,28,18,0,E,0,23,2008,0,WESTMORELAND ROAD,West of Redland Road,357522,946814,U,0
0,South West,E06000023,175137,0,"Bristol, City of",0,0,UU,0,0,4/21/2008,0,16,18,0,W,0,16,2008,0,WESTMORELAND ROAD,West of Redland Road,357522,946814,U,0
0,South West,E06000024,174099,0,North Somerset,0,1,CR,0,0,4/21/2008,0,2,18,0,N,0,1,2008,0,COMMON LANE,Lower Failand,351828,947254,C,0
0,South West,E06000024,174099,0,North Somerset,0,1,CR,0,0,4/21/2008,0,3,18,0,S,0,2,2008,0,COMMON LANE,Lower Failand,351828,947254,C,0
0,South West,E06000024,163592,0,North Somerset,0,1,UU,0,0,4/21/2008,0,11,18,0,N,0,10,2008,0,LADYE WAKE,"South of St Marks Road, Worle",335959,947282,U,0
0,South West,E06000024,163592,0,North Somerset,0,2,UU,0,0,4/21/2008,0,18,18,0,S,0,16,2008,0,LADYE WAKE,"South of St Marks Road, Worle",335959,947282,U,0
0,South West,E06000025,174897,0,South Gloucestershire,0,2,UU,0,0,4/21/2008,0,15,18,0,E,1,13,2008,0,HILLTOP ROAD,"west of St Stephens Road, Soundwell",364948,947530,U,0
0,South West,E06000025,174897,0,South Gloucestershire,0,0,UU,0,0,4/21/2008,0,5,18,0,W,0,5,2008,0,HILLTOP ROAD,"west of St Stephens Road, Soundwell",364948,947530,U,0
