HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,Road Name,CP Location,S Ref E,CP,Road,HGVA3
11,South West,E06000023,170955,76,"Bristol, City of",4,299,A38,PU,13,36,6/17/2005,49,357680,1226,7,6,N,A3029 Ashton Road/Winterstoke Underpass,11,802,356680,2005,5,170620,171490,,,357000,16959,A3029,1
6,South West,E06000023,170955,67,"Bristol, City of",7,140,A38,PU,6,11,6/17/2005,40,357680,1026,7,8,S,A3029 Ashton Road/Winterstoke Underpass,8,802,356680,2005,5,170620,171490,,,357000,16959,A3029,1
0,South West,E06000023,172990,0,"Bristol, City of",0,1,,UU,0,1,6/17/2005,0,,55,7,0,N,,4,53,,2005,0,,,SION HILL,North of Caledonia Place,356640,930431,U,0
0,South West,E06000023,172990,3,"Bristol, City of",0,4,,UU,0,0,6/17/2005,2,,57,7,1,S,,2,50,,2005,0,,,SION HILL,North of Caledonia Place,356640,930431,U,0
