HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,Road Name,CP Location,S Ref E,CP,Road,HGVA3
1,South West,E06000023,173180,18,"Bristol, City of",0,97,A38,PU,65,12,6/16/2008,14,358510,776,12,2,E,A4176,41,584,357330,2008,0,172750,174840,,,358020,7617,A4018,1
0,South West,E06000023,173180,21,"Bristol, City of",1,138,A38,PU,34,11,6/16/2008,15,358510,944,12,3,W,A4176,19,740,357330,2008,2,172750,174840,,,358020,7617,A4018,0
10,South West,E06000025,188200,412,South Gloucestershire,142,305,Junction 15/20 M5/M4),TM,6,12,6/16/2008,104,361812,2636,12,29,N,Junction 14 M5,0,1901,368807,2008,98,183775,193200,,,366000,26020,M5,29
9,South West,E06000025,188200,283,South Gloucestershire,82,243,Junction 15/20 M5/M4),TM,18,10,6/16/2008,68,361812,2622,12,30,S,Junction 14 M5,0,2068,368807,2008,85,183775,193200,,,366000,26020,M5,9
0,South West,E06000023,176002,1,"Bristol, City of",0,1,,UU,0,0,6/16/2008,1,,30,12,0,N,,0,28,,2008,0,,,BRANSCOMBE ROAD,North of Roman Way,355350,946774,U,0
0,South West,E06000023,176002,3,"Bristol, City of",0,4,,UU,0,1,6/16/2008,3,,49,12,0,S,,0,41,,2008,0,,,BRANSCOMBE ROAD,North of Roman Way,355350,946774,U,0
0,South West,E06000023,168185,0,"Bristol, City of",0,0,,UU,0,0,6/16/2008,0,,15,12,0,N,,0,15,,2008,0,,,MATERMAN ROAD,South of Holloway Road,362313,946796,U,0
0,South West,E06000023,168185,0,"Bristol, City of",0,1,,UU,0,0,6/16/2008,0,,8,12,0,S,,0,7,,2008,0,,,MATERMAN ROAD,South of Holloway Road,362313,946796,U,0
0,South West,E06000023,171123,2,"Bristol, City of",0,7,,UU,0,0,6/16/2008,2,,36,12,0,N,,2,27,,2008,0,,,British Road,South of South Road,358020,966007,U,0
0,South West,E06000023,171123,0,"Bristol, City of",0,3,,UU,0,0,6/16/2008,0,,27,12,0,S,,3,24,,2008,0,,,British Road,South of South Road,358020,966007,U,0
