HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,Road Name,CP Location,S Ref E,CP,Road,HGVA3
1,South West,E06000025,184500,35,South Gloucestershire,8,31,Unclassified Road,PR,2,10,7/1/2003,3,354680,393,17,0,N,B4064,0,315,355222,2003,18,184270,185355,,,354790,73298,A403,5
5,South West,E06000025,184500,56,South Gloucestershire,11,30,Unclassified Road,PR,0,6,7/1/2003,21,354680,210,17,2,S,B4064,3,118,355222,2003,14,184270,185355,,,354790,73298,A403,3
0,South West,E06000025,179740,0,South Gloucestershire,0,19,,UU,0,4,7/1/2003,0,,174,17,0,N,,0,151,,2003,0,,,Down Road,"north of Sandstone Rise, Winterbourne",365090,979275,U,0
0,South West,E06000025,179740,1,South Gloucestershire,0,17,,UU,0,3,7/1/2003,1,,196,17,0,S,,5,175,,2003,0,,,Down Road,"north of Sandstone Rise, Winterbourne",365090,979275,U,0
