HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,Road Name,CP Location,S Ref E,CP,Road,HGVA3
2,South West,E06000024,157500,187,North Somerset,42,341,LA Boundary,TM,20,10,6/27/2008,67,337520,3179,16,7,N,21,0,2621,337878,2008,47,155010,162596,,,338400,16021,M5,22
1,South West,E06000024,157500,132,North Somerset,30,323,LA Boundary,TM,19,26,6/27/2008,34,337520,3653,16,5,S,21,0,3153,337878,2008,53,155010,162596,,,338400,16021,M5,9
0,South West,E06000023,173458,8,"Bristol, City of",0,115,A38 St Johns Bridge,PU,103,36,6/27/2008,8,358730,1430,16,0,N,A4440,53,1168,359050,2008,0,173270,173550,,,358992,74772,A38,0
6,South West,E06000023,173458,19,"Bristol, City of",0,98,A38 St Johns Bridge,PU,120,13,6/27/2008,10,358730,1059,16,1,S,A4440,39,809,359050,2008,1,173270,173550,,,358992,74772,A38,1
1,South West,E06000023,178600,5,"Bristol, City of",0,78,,UU,6,17,6/27/2008,4,,836,16,0,N,,13,730,,2008,0,,,PEN PARK ROAD,North of Royston Walk,358860,930429,U,0
0,South West,E06000023,178600,5,"Bristol, City of",0,67,,UU,7,12,6/27/2008,5,,654,16,0,S,,8,563,,2008,0,,,PEN PARK ROAD,North of Royston Walk,358860,930429,U,0
0,South West,E06000023,173916,0,"Bristol, City of",0,2,,UU,0,0,6/27/2008,0,,10,16,0,E,,2,8,,2008,0,,,BOURNEVILLE ROAD,West of Poets Close,361522,946788,U,0
0,South West,E06000023,173916,0,"Bristol, City of",0,2,,UU,0,0,6/27/2008,0,,12,16,0,W,,3,10,,2008,0,,,BOURNEVILLE ROAD,West of Poets Close,361522,946788,U,0
0,South West,E06000024,169122,10,North Somerset,0,46,,BR,6,2,6/27/2008,6,,398,16,0,N,,2,334,,2008,3,,,KENN ROAD,"North of Kenn Street, Kenn",341386,947246,B3133,1
0,South West,E06000024,169122,4,North Somerset,1,25,,BR,2,0,6/27/2008,2,,317,16,0,S,,2,286,,2008,1,,,KENN ROAD,"North of Kenn Street, Kenn",341386,947246,B3133,0
