HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,RCat,BUS,2WMV,dCount,HGVR2,AMV,Hour,HGVR3,iDir,PC,CAR,Year,HGVA5,Road Name,CP Location,S Ref E,CP,Road,HGVA3
0,South West,E06000023,174360,9,"Bristol, City of",0,60,UU,3,5,4/21/2008,9,536,8,0,N,4,459,2008,0,CHARLTON ROAD,North of Ingleside Road,363890,930423,U,0
0,South West,E06000023,174360,4,"Bristol, City of",0,80,UU,6,3,4/21/2008,3,454,8,1,S,1,361,2008,0,CHARLTON ROAD,North of Ingleside Road,363890,930423,U,0
0,South West,E06000023,175137,0,"Bristol, City of",0,2,UU,0,0,4/21/2008,0,40,8,0,E,3,38,2008,0,WESTMORELAND ROAD,West of Redland Road,357522,946814,U,0
0,South West,E06000023,175137,1,"Bristol, City of",0,1,UU,0,0,4/21/2008,0,34,8,0,W,0,32,2008,0,WESTMORELAND ROAD,West of Redland Road,357522,946814,U,1
0,South West,E06000024,174099,1,North Somerset,0,1,CR,0,0,4/21/2008,1,6,8,0,N,0,4,2008,0,COMMON LANE,Lower Failand,351828,947254,C,0
0,South West,E06000024,174099,1,North Somerset,0,1,CR,0,0,4/21/2008,1,4,8,0,S,0,2,2008,0,COMMON LANE,Lower Failand,351828,947254,C,0
0,South West,E06000024,163592,1,North Somerset,0,1,UU,0,0,4/21/2008,1,36,8,0,N,1,34,2008,0,LADYE WAKE,"South of St Marks Road, Worle",335959,947282,U,0
0,South West,E06000024,163592,0,North Somerset,0,3,UU,0,0,4/21/2008,0,34,8,0,S,0,31,2008,0,LADYE WAKE,"South of St Marks Road, Worle",335959,947282,U,0
0,South West,E06000025,174897,0,South Gloucestershire,0,1,UU,0,0,4/21/2008,0,16,8,0,E,1,15,2008,0,HILLTOP ROAD,"west of St Stephens Road, Soundwell",364948,947530,U,0
0,South West,E06000025,174897,0,South Gloucestershire,0,2,UU,0,0,4/21/2008,0,21,8,0,W,1,19,2008,0,HILLTOP ROAD,"west of St Stephens Road, Soundwell",364948,947530,U,0
