HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,Road Name,CP Location,S Ref E,CP,Road,HGVA3
5,South West,E06000024,157500,221,North Somerset,38,404,LA Boundary,TM,31,17,6/27/2008,61,337520,3478,15,5,N,21,0,2805,337878,2008,104,155010,162596,,,338400,16021,M5,8
5,South West,E06000024,157500,178,North Somerset,60,374,LA Boundary,TM,35,21,6/27/2008,40,337520,4120,15,7,S,21,0,3512,337878,2008,53,155010,162596,,,338400,16021,M5,13
1,South West,E06000023,173458,16,"Bristol, City of",0,132,A38 St Johns Bridge,PU,85,23,6/27/2008,14,358730,1185,15,1,N,A4440,34,929,359050,2008,0,173270,173550,,,358992,74772,A38,0
3,South West,E06000023,173458,26,"Bristol, City of",2,126,A38 St Johns Bridge,PU,97,19,6/27/2008,14,358730,1041,15,1,S,A4440,21,773,359050,2008,2,173270,173550,,,358992,74772,A38,4
0,South West,E06000023,178600,12,"Bristol, City of",0,62,,UU,2,8,6/27/2008,10,,727,15,2,N,,12,643,,2008,0,,,PEN PARK ROAD,North of Royston Walk,358860,930429,U,0
0,South West,E06000023,178600,5,"Bristol, City of",0,65,,UU,6,8,6/27/2008,4,,626,15,1,S,,8,542,,2008,0,,,PEN PARK ROAD,North of Royston Walk,358860,930429,U,0
0,South West,E06000023,173916,0,"Bristol, City of",0,4,,UU,0,0,6/27/2008,0,,10,15,0,E,,3,6,,2008,0,,,BOURNEVILLE ROAD,West of Poets Close,361522,946788,U,0
0,South West,E06000023,173916,0,"Bristol, City of",0,0,,UU,0,0,6/27/2008,0,,13,15,0,W,,0,13,,2008,0,,,BOURNEVILLE ROAD,West of Poets Close,361522,946788,U,0
0,South West,E06000024,169122,11,North Somerset,3,42,,BR,3,3,6/27/2008,5,,394,15,0,N,,1,335,,2008,3,,,KENN ROAD,"North of Kenn Street, Kenn",341386,947246,B3133,0
4,South West,E06000024,169122,17,North Somerset,3,57,,BR,3,4,6/27/2008,6,,472,15,0,S,,1,391,,2008,2,,,KENN ROAD,"North of Kenn Street, Kenn",341386,947246,B3133,2
