HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,Road Name,CP Location,S Ref E,CP,Road,HGVA3
16,South West,E06000025,188200,364,South Gloucestershire,76,310,M4 (15),TM,4,11,3/30/2001,140,361812,3015,14,23,N,14,0,2326,368807,2001,77,183775,193200,,,366000,26020,M5,32
6,South West,E06000025,188200,233,South Gloucestershire,53,275,M4 (15),TM,13,13,3/30/2001,86,361812,2503,14,6,S,14,0,1969,368807,2001,54,183775,193200,,,366000,26020,M5,28
3,South West,E06000022,154900,21,Bath and North East Somerset,3,58,A37,PR,0,7,3/30/2001,5,362907,408,14,6,E,B3355,1,322,365728,2001,2,155448,155025,,,365000,47026,A362,2
0,South West,E06000022,154900,14,Bath and North East Somerset,2,44,A37,PR,4,3,3/30/2001,9,362907,334,14,1,W,B3355,0,269,365728,2001,2,155448,155025,,,365000,47026,A362,0
0,South West,E06000025,190000,0,South Gloucestershire,0,2,,CU,0,5,3/30/2001,0,,72,14,0,E,,3,65,,2001,0,,,Knapp Road,"west of The Paddocks, Thornbury",364430,966013,C,0
0,South West,E06000025,190000,0,South Gloucestershire,0,7,,CU,2,6,3/30/2001,0,,71,14,0,W,,0,56,,2001,0,,,Knapp Road,"west of The Paddocks, Thornbury",364430,966013,C,0
