HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,Road Name,CP Location,S Ref E,CP,Road,HGVA3
0,South West,E06000022,165451,13,Bath and North East Somerset,3,65,Sydney Rd/Beckford Rd,TU,6,15,4/27/2005,3,375948,866,17,1,E,"Hantone Hill, Bathampton",3,767,377730,2005,4,165429,165920,,,376000,26381,A36,2
2,South West,E06000022,165451,19,Bath and North East Somerset,0,27,Sydney Rd/Beckford Rd,TU,6,7,4/27/2005,11,375948,558,17,1,W,"Hantone Hill, Bathampton",4,499,377730,2005,5,165429,165920,,,376000,26381,A36,0
1,South West,E06000023,173360,6,"Bristol, City of",0,91,A4320,PU,30,34,4/27/2005,4,360440,1083,17,0,E,B4467,35,922,361620,2005,1,173463,173530,,,361000,27127,A420,0
0,South West,E06000023,173360,5,"Bristol, City of",0,57,A4320,PU,28,21,4/27/2005,5,360440,642,17,0,W,B4467,24,531,361620,2005,0,173463,173530,,,361000,27127,A420,0
0,South West,E06000023,176900,0,"Bristol, City of",0,36,,CU,6,7,4/27/2005,0,,504,17,0,E,,12,455,,2005,0,,,Wellington Hill West,,358900,996519,C,0
0,South West,E06000023,176900,0,"Bristol, City of",0,47,,CU,7,9,4/27/2005,0,,469,17,0,W,,14,406,,2005,0,,,Wellington Hill West,,358900,996519,C,0
